,full_name,link,description,stars,forks,watchers,keywords,source
0,aws-serverless-airline-booking,https://github.com/aws-samples/aws-serverless-airline-booking.git,"Airline Booking is a sample web application that provides Flight Search, Flight Payment, Flight Booking and Loyalty points including end-to-end testing, GraphQL and CI/CD. This web application was the theme of Build on Serverless Season 2 on AWS Twitch running from April 24th until end of August in 2019.",1439,740,1439,airline+flight+graphql+airline-booking+serverless+sam+lambda-functions+lambda+aws+aws-lambda+python+typescript+aws-lambda-python+aws-lambda-node+tracing,GitHub
1,openflights,https://github.com/jpatokal/openflights.git,"Website for storing flight information, rendering paths on a zoomable world map and calculating statistics, with plenty of free airline, airport and route data.",1119,326,1119,airline+flight,GitHub
2,Flight-Booking-System-JavaServlets_App,https://github.com/harismuneer/Flight-Booking-System-JavaServlets_App.git,"✈️ An enterprise level Flight Booking System for Turkish Airlines (web-application) based on the Model View Controller (MVC) Architecture made using Java Servlets, Java Server Pages (JSPs). Moreover authentication and authorization for users is implemented. The web-application is also secured against SQL Injection and Cross-Site Scripting attacks.",37,32,37,airline+flight+web-application+airlines-booking+java-servlets+java-server-pages+java-web-app+sql-injection-attacks+xss-filter+xss-attacks+enterprise-applications+mvc-architecture+ajax+web-services+soap-web-services+tomcat-server+netbeans-project+security-roles+responsive-web-design+flight-reservation-system+airlines-reservation-system+ticket-reservation-system,GitHub
3,Flight_Tracker,https://github.com/broadtoad/Flight_Tracker.git,Tool to monitor airline flight prices,24,6,24,airline+flight,GitHub
4,Flight-Booking-System-JavaServlets_App,https://github.com/zjm/Flight-Booking-System-JavaServlets_App.git,"✈️ An enterprise level Flight Booking System for Turkish Airlines (web-application) based on the Model View Controller (MVC) Architecture made using Java Servlets, Java Server Pages (JSPs). Moreover authentication and authorization for users is implemented. The web-application is also secured against SQL Injection and Cross-Site Scripting attacks.",17,63,17,airline+flight,GitHub
5,swa-price-drop,https://github.com/barrettc/swa-price-drop.git,Check for Southwest Airlines price drops for specific outbound and return flight numbers.,14,11,14,airline+flight+southwest+price-drops+flight+price-falls+price+drop+flight-number+swa+fall,GitHub
6,AA-Mock-Engine,https://github.com/AmericanAirlines/AA-Mock-Engine.git,"A simple backend to help you get up and running with mock data for flight data, travel info, and reservations to help you get hacking on the next big thing for American Airlines",14,65,14,airline+flight+nodejs+express+swagger+mongodb,GitHub
7,airlines-booking-android,https://github.com/mfathy/airlines-booking-android.git,Android app for learning purpose which gets list of airline schedules and display their origin and destination airports on a map. This app uses Lufthansa flights API.,12,4,12,airline+flight+android+jetpack+kotlin+kotlin-android+clean-architecture+clean-code+airline-schedules+dependency-injection+android-studio+destination-airport+lufthansa-api+okhttp+dagger+flight+room-database+viewmodel+architecture+mvvm,GitHub
8,flight-tickets,https://github.com/sapph1re/flight-tickets.git,Ethereum-based decentralized application that allows airlines to sell flight tickets to customers via smart contracts and manages payments between the parties in cryptocurrency.,12,3,12,airline+flight,GitHub
9,travel-service,https://github.com/jwachter/travel-service.git,"Backend that provides a fantasy scenario of finding flights, booking them and paying for them for some airline. University project during winter semester 2009/2010. Realized using Scala and especially Lift.",9,0,9,airline+flight,GitHub
10,google-flights-wrapper,https://github.com/adhorrig/google-flights-wrapper.git,A simple wrapper to return price and airline from the Google Flights API,8,8,8,airline+flight+wrapper+google-flights-wrapper+qpx-express+qpx+flights-api,GitHub
11,elastic-flights,https://github.com/loekvangool/elastic-flights.git,"US Domestic Flights ETL flow with weather, geo, delays, airlines for the country's top 5 airports. Uses Logstash, Elasticsearch & Kibana with Timelion.",8,4,8,airline+flight+elasticsearch+kibana+logstash,GitHub
12,Airline-Ticketing-System,https://github.com/IordachescuAnca/Airline-Ticketing-System.git,Airline Ticketing System which helps to buy flight tickets for particular seats available on various flights.,8,1,8,airline+flight,GitHub
13,southwest-checkin,https://github.com/brandongoldman/southwest-checkin.git,A script to automatically check you in to a Southwest Airlines flight exactly 24 hours prior to your flight.,8,0,8,airline+flight,GitHub
