,full_name,link,description,stars,forks,watchers,keywords,source
0,openflights,https://github.com/jpatokal/openflights.git,"Website for storing flight information, rendering paths on a zoomable world map and calculating statistics, with plenty of free airline, airport and route data.",1119,326,1119,airport,GitHub
1,JDFlipNumberView,https://github.com/calimarkus/JDFlipNumberView.git,[iOS] Representing analog flip numbers like airport/trainstation displays,740,139,740,airport,GitHub
2,littlenavmap,https://github.com/albar965/littlenavmap.git," Little Navmap is a free flight planner, navigation tool, moving map, airport search and airport information system for Flight Simulator X, Microsoft Flight Simulator 2020, Prepar3D and X-Plane.",659,103,659,airport+navigation+flight+simulator+map+flightplan+fsx+prepar3d+x-plane+flightplanner+msfs,GitHub
3,AirportBrcmFixup,https://github.com/acidanthera/AirportBrcmFixup.git,An open source kernel extension providing a set of patches required for non-native Airport Broadcom Wi-Fi cards.,462,62,462,airport,GitHub
4,FlightAirMap,https://github.com/Ysurac/FlightAirMap.git,"Open source project displaying live aircrafts, ships or trackers on 2D/3D map. Browse through the data based on a particular aircraft, airline, airport, tracker or vessel to search through the database or see extensive statistics. Can use ADS-B in SBS1 format (dump1090, Radarcape,...), VRS, VA (VATSIM, IVAO whazzup.txt, phpvms,...), ACARS (acarsdec, acarsdeco2), APRS, AIS as datasource.",388,124,388,airport+vatsim+ivao+aircraft+crash+cesium+acars+airport+glidernet+phpvms+notam+metar+airline+modes+ads-b+sbs+vessel+ship+tracker+3d-map+flight,GitHub
5,Airports,https://github.com/mwgg/Airports.git,"A JSON database of 28k+ airports with ICAO/IATA codes, names, cities, two-letter country identifiers, elevation, latitude & longitude, and a timezone identifier",291,101,291,airport,GitHub
6,airport-codes,https://github.com/datasets/airport-codes.git,"List of Airport codes, locations and other information around the world",240,78,240,airport,GitHub
7,JSON-Airports,https://github.com/jbrooksuk/JSON-Airports.git,"A JSON array of Airport names, IATA code and location",239,90,239,airport,GitHub
8,airport-codes,https://github.com/lynnandtonic/airport-codes.git,✈️ Making sense of those three-letter airport codes.,232,185,232,airport,GitHub
9,Throttle,https://github.com/dmolsen/Throttle.git,"Throttle is a simple node.js app that makes it easier to test how a website performs on poor network connections. For example, testing a responsive website on a poor 3G connection without actually having to have a poor 3G connection. Simply connect your Mac to ethernet, share the network connection via Airport, run Throttle, and any connected device will then be throttled to the the network speed you specified. Throttle was designed to be used in conjunction with a device lab and products like shim or Adobe Shadow where a shared connection is expected.",207,8,207,airport,GitHub
