,full_name,link,description,stars,forks,watchers,keywords,source
0,saleor,https://github.com/mirumee/saleor.git,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.",13718,3920,13718,commerce+python+e-commerce+django+storefront+store+commerce+shop+ecommerce-storefront+ecommerce+cart+ecommerce-platform+react+pwa+graphql+headless+headless-ecommerce+headless-commerce+hacktoberfest+multichannel,GitHub
1,reaction,https://github.com/reactioncommerce/reaction.git,"Reaction is an API-first, headless commerce platform built using Node.js, React, GraphQL. Deployed via Docker and Kubernetes. ",11397,2081,11397,commerce+ecommerce-platform+ecommerce+commerce+reactioncommerce+e-commerce+javascript+cart+shop+storefront+marketplace+docker+mongodb+headless+graphql+reaction-action,GitHub
2,spree,https://github.com/spree/spree.git,"Open Source multi-language/multi-currency/multi-store E-commerce platform for Ruby on Rails with a modern UX, PWA frontend, REST API, GraphQL, several official extensions, and 3rd party integrations. ",11359,4764,11359,commerce+spree+spreecommerce+rails+ecommerce+e-commerce+ruby+rubyonrails+cart+headless-commerce+ecommerce-platform+store+shop+spree-commerce+graphql,GitHub
3,opencart,https://github.com/opencart/opencart.git,A free shopping cart system. OpenCart is an open source PHP-based online e-commerce solution.,6149,4379,6149,commerce+php+ecommerce-framework+opencart+open-source,GitHub
4,PrestaShop,https://github.com/PrestaShop/PrestaShop.git,"PrestaShop is an Open Source e-commerce platform, committed to providing the best shopping cart experience for both merchants and customers.",6023,4152,6023,commerce+prestashop+ecommerce+ecommerce-platform+cms+php+php-framework+ecommerce-framework,GitHub
5,django-oscar,https://github.com/django-oscar/django-oscar.git,Domain-driven e-commerce for Django,5018,1855,5018,commerce+django+ecommerce+django-oscar+oscar,GitHub
6,qor,https://github.com/qor/qor.git,"QOR is a set of libraries written in Go that abstracts common features needed for business applications, CMSs, and E-commerce systems.",4804,661,4804,commerce+go+golang+cms+admin+api,GitHub
7,commerce,https://github.com/vercel/commerce.git,Next.js Commerce,4225,1137,4225,commerce+ecommerce+react+nextjs,GitHub
8,shopizer,https://github.com/shopizer-ecommerce/shopizer.git,Shopizer java e-commerce software,2421,2115,2421,commerce+e-commerce+springframework+springboot+springmvc+shopizer+java+retail+cloud+apache2,GitHub
9,pimcore,https://github.com/pimcore/pimcore.git,"Open Source Data & Experience Management Platform (PIM, MDM, CDP, DAM, DXP/CMS & Digital Commerce)",2200,1021,2200,commerce+pimcore+cms+pim+shop+ecommerce+ecommerce-platform+master-data-management+dam+wcms+digital-platform+experience-manager+data-management+product-management+product-information-management+cms-framework+mdm+online-shop+online-store+cdp+customer-data-platform,GitHub
10,microweber,https://github.com/microweber/microweber.git,Drag and Drop Website Builder and CMS with E-commerce,2089,643,2089,commerce+cms+ecommerce+microweber+php+javascript+laravel+website-builder+drag-and-drop+shopping-cart+content-management,GitHub
11,aimeos,https://github.com/aimeos/aimeos.git,Integrated online shop based on Laravel LTS and the Aimeos e-commerce framework,2002,117,2002,commerce+aimeos+laravel+shop+e-commerce+ecommerce+performance+php+e-commerce-platform+b2b+shopping-cart+cart+ecommerce-platform+laravel-admin,GitHub
12,aimeos-core,https://github.com/aimeos/aimeos-core.git,"Aimeos PHP e-commerce framework for ultra fast online shops, complex B2B applications and #gigacommerce",1901,68,1901,commerce+aimeos+php-library+e-commerce+ecommerce+shop+php+performance+b2b+marketplace,GitHub
13,flutter_ecommerce_app,https://github.com/TheAlphamerc/flutter_ecommerce_app.git,E-Commerce App built in flutter,1766,695,1766,commerce+flutter+flutter-apps+flutter-demo+flutter-examples+flutter-ui+flutter-app,GitHub
14,shuup,https://github.com/shuup/shuup.git,E-Commerce Platform,1669,867,1669,commerce+django+python+ecommerce+ecommerce-platform+ecommerce-shopping-solution+ecommerce-framework+ecommerce-website+shuup+multivendor+multivendor-ecommerce,GitHub
15,angularspree,https://github.com/aviabird/angularspree.git,angular e-commerce framework for online store,1545,768,1545,commerce+angular+ecommerce+ecommerce-platform+aviacommerce+commerce+online+store,GitHub
16,laracom,https://github.com/jsdecena/laracom.git,Laravel FREE E-Commerce Software,1507,787,1507,commerce+laravel-ecommerce+laravel+e-commerce+test-driven-development+tdd+admin-lte+shop+shopping-cart+shopping-list+shopping-cart-solution+shopping+storefront+free+open-source+opensource+ecommerce+hacktoberfest,GitHub
17,BroadleafCommerce,https://github.com/BroadleafCommerce/BroadleafCommerce.git,Broadleaf Commerce - Enterprise eCommerce framework based on Spring,1486,1154,1486,commerce,GitHub
18,gocommerce,https://github.com/netlify/gocommerce.git,A headless e-commerce for JAMstack sites,1253,152,1253,commerce+jamstack+ecommerce+headless+managed-services+platform,GitHub
19,ever-demand,https://github.com/ever-co/ever-demand.git,Ever® Demand™ - Open-Source Commerce Platform for On-Demand Economy and Digital Marketplaces,1088,313,1088,commerce+ecommerce-platform+ecommerce+commerce+e-commerce+on-demand+javascript+typescript+shop+storefront+marketplace+platform+ionic+angular+nodejs+commerce-platform+shopping-website+graphql+framework+headless+multivendor,GitHub
20,django-ecommerce,https://github.com/justdjango/django-ecommerce.git,An e-commerce website built with Django,1017,949,1017,commerce+django+ecommerce,GitHub
21,flatmarket,https://github.com/christophercliff/flatmarket.git,"A free, open source e-commerce platform for static websites.",959,129,959,commerce,GitHub
22,bibi,https://github.com/seasonstar/bibi.git,An e-commerce fullstack solution for Flask 出口电商全栈解决方案,914,315,914,commerce+flask+celery+mongodb+redis+python3+angular,GitHub
