,full_name,link,description,stars,forks,watchers,keywords,source
0,Annocript,https://github.com/frankMusacchia/Annocript.git,"Annocript is a pipeline for the annotation of de-novo generated  transcriptomes. It executes BLAST analysis with UniProt, NCBI Conserved Domain Database and Nucleotide divisions, Gene Ontology, UniPathways and the Enzyme Commission. It gives information about the longest ORF (using DNA2PEP) and non-coding potential of the sequences (using Portrait). A final heuristic makes Annocript able to identify putative long non-coding RNAs among your transcripts. Like our facebook page to be always updated: https://www.facebook.com/annocript",51,28,51,database+sequence+analysis,GitHub
1,BIGSdb,https://github.com/kjolley/BIGSdb.git,Bacterial Isolate Genome Sequence Database (BIGSdb) - A platform for gene-by-gene bacterial population annotation and analysis.,29,11,29,database+sequence+analysis+bacteria+genomes+database+mlst,GitHub
2,Gratton_et_al_JBiogeogr_2016,https://github.com/paolo-gratton/Gratton_et_al_JBiogeogr_2016.git,"Analysis pipeline for Gratton et al. (2016) ""A world of sequences: can we use georeferenced nucleotide databases for a robust automated phylogeography?"" Journal of Biogeography",4,5,4,database+sequence+analysis,GitHub
3,FluLINE,https://github.com/UmaSangumathi/FluLINE.git,"Flu analysis pipeline: i) Filtering of the sequencing reads by cutadapt and FastQC ii) Find the nearest sequence in NCBI database for each read, iii) Cluster and identify the viral species, iv) Generate consensus genomic sequence iteratively, v) Map the reads to the final consensus genome, vi) Identify SNVs and vii) Visualize the coverage of the genome ",4,3,4,database+sequence+analysis,GitHub
4,soap-hla,https://github.com/adefelicibus/soap-hla.git,SOAP-HLA is a flow of sequencing data analysis pipeline to type all of the HLA genes in IMGT/HLA database using capture sequenced data or WGS data with high accuracy.,3,1,3,database+sequence+analysis,GitHub
5,Machine-Learning-Interview-Preparation,https://github.com/reddyprasade/Machine-Learning-Interview-Preparation.git,"Prepare to Technical Skills Here are the essential skills that a Machine Learning Engineer needs, as mentioned Read me files. Within each group are topics that you should be familiar with.  Study Tip: Copy and paste this list into a document and save to your computer for easy referral.  Computer Science Fundamentals and Programming Topics  Data structures: Lists, stacks, queues, strings, hash maps, vectors, matrices, classes & objects, trees, graphs, etc. Algorithms: Recursion, searching, sorting, optimization, dynamic programming, etc. Computability and complexity: P vs. NP, NP-complete problems, big-O notation, approximate algorithms, etc. Computer architecture: Memory, cache, bandwidth, threads & processes, deadlocks, etc. Probability and Statistics Topics  Basic probability: Conditional probability, Bayes rule, likelihood, independence, etc. Probabilistic models: Bayes Nets, Markov Decision Processes, Hidden Markov Models, etc. Statistical measures: Mean, median, mode, variance, population parameters vs. sample statistics etc. Proximity and error metrics: Cosine similarity, mean-squared error, Manhattan and Euclidean distance, log-loss, etc. Distributions and random sampling: Uniform, normal, binomial, Poisson, etc. Analysis methods: ANOVA, hypothesis testing, factor analysis, etc. Data Modeling and Evaluation Topics  Data preprocessing: Munging/wrangling, transforming, aggregating, etc. Pattern recognition: Correlations, clusters, trends, outliers & anomalies, etc. Dimensionality reduction: Eigenvectors, Principal Component Analysis, etc. Prediction: Classification, regression, sequence prediction, etc.; suitable error/accuracy metrics. Evaluation: Training-testing split, sequential vs. randomized cross-validation, etc. Applying Machine Learning Algorithms and Libraries Topics  Models: Parametric vs. nonparametric, decision tree, nearest neighbor, neural net, support vector machine, ensemble of multiple models, etc. Learning procedure: Linear regression, gradient descent, genetic algorithms, bagging, boosting, and other model-specific methods; regularization, hyperparameter tuning, etc. Tradeoffs and gotchas: Relative advantages and disadvantages, bias and variance, overfitting and underfitting, vanishing/exploding gradients, missing data, data leakage, etc. Software Engineering and System Design Topics  Software interface: Library calls, REST APIs, data collection endpoints, database queries, etc. User interface: Capturing user inputs & application events, displaying results & visualization, etc. Scalability: Map-reduce, distributed processing, etc. Deployment: Cloud hosting, containers & instances, microservices, etc. Move on to the final lesson of this course to find lots of sample practice questions for each topic!",3,0,3,database+sequence+analysis,GitHub
6,motif_databases,https://github.com/rsa-tools/motif_databases.git,Databases of transcription factor binding motifs for the software suite Regulatory Sequence Analysis Tools (RSAT),1,2,1,database+sequence+analysis,GitHub
7,SContent,https://github.com/co2e14/SContent.git,Sulphur content analysis of large sequence databases,1,0,1,database+sequence+analysis,GitHub
8,GAG-Prospector,https://github.com/ywsheng227/GAG-Prospector.git,A Tool for Mining Glycosaminoglycan (GAG) Sequence Databases for Mass Spectrometry Data Analysis,1,1,1,database+sequence+analysis,GitHub
9,journey-neo4j-plugin,https://github.com/journey-app/journey-neo4j-plugin.git,This is a neo4j server plugin to turning the graph database to an action sequence analysis engine.,1,0,1,database+sequence+analysis,GitHub
