,full_name,link,description,stars,forks,watchers,keywords,source
0,Tropos,https://github.com/thoughtbot/Tropos.git,Weather and Forecasts for Humans,1521,209,1521,forecast+weather+ios+swift,GitHub
1,WRF,https://github.com/wrf-model/WRF.git,The official repository for the Weather Research and Forecasting (WRF) model,643,420,643,forecast+weather,GitHub
2,temps,https://github.com/jackd248/temps.git,Simple menubar application based on Electron with actual weather information and forecast.,552,73,552,forecast+weather+weather-information+menubar+electron+forecast+weather+windows+mac+linux,GitHub
3,WeatherAlarmClock,https://github.com/kaku2015/WeatherAlarmClock.git,Alarm clock with weather forecast 一款具有天气提醒功能的闹钟,511,172,511,forecast+weather+alarm-clock+weather+weather-forecast+android,GitHub
4,python-forecast.io,https://github.com/ZeevG/python-forecast.io.git,A thin Python Wrapper for the Dark Sky (formerly forecast.io) weather API,413,91,413,forecast+weather,GitHub
5,WeatherBench,https://github.com/pangeo-data/WeatherBench.git,A benchmark dataset for data-driven weather forecasting,266,78,266,forecast+weather+dataset+benchmark+weather-forecast+deep-learning,GitHub
6,wrf-python,https://github.com/NCAR/wrf-python.git,A collection of diagnostic and interpolation routines for use with output from the Weather Research and Forecasting (WRF-ARW) Model.,250,88,250,forecast+weather,GitHub
7,forecast-ruby,https://github.com/darkskyapp/forecast-ruby.git,Ruby gem for retrieving data from the Forecast Weather API.,244,29,244,forecast+weather,GitHub
8,progressive-weather-app,https://github.com/jimmerioles/progressive-weather-app.git,A local weather app that fetches weather forecast from Openweathermap.org. A Progressive Web App built with Vue.js.,227,37,227,forecast+weather+vuejs+progressive-web-app+javascript+vue+service-worker,GitHub
9,Skycons,https://github.com/torryharris/Skycons.git,"Forecast / DarkSky's Skycons, Animated Weather icons recreated for Android",203,44,203,forecast+weather,GitHub
10,weather-10kb-wxkb,https://github.com/JulianNorton/weather-10kb-wxkb.git, Weather forecast that's high performance and accessible,154,51,154,forecast+weather+ejs+node+sass+weather-app+open-source,GitHub
11,esp8266-weather-station-epaper,https://github.com/duck531a98/esp8266-weather-station-epaper.git,use esp8266 to show weather forecast on 2.9inch e-paper,142,35,142,forecast+weather,GitHub
12,caule-themes-pack-1,https://github.com/orickcorreia/caule-themes-pack-1.git,"10 modern colors  |  4 categories of styles (Black Glass, Black, Dark, Light)  |  40 themes in total  |  Animated icons for the weather forecast card  |  And a bonus automatic theme selector for your interface.",133,11,133,forecast+weather+hassio+homeassistant+themes+lovelace+caule+pack,GitHub
13,tropos-android,https://github.com/thoughtbot/tropos-android.git,Weather and Forecasts for Humans,132,21,132,forecast+weather,GitHub
14,alfred-weather,https://github.com/jason0x43/alfred-weather.git,Get weather forecast using Alfred,123,12,123,forecast+weather,GitHub
