,full_name,link,description,stars,forks,watchers,keywords,source
0,uswds,https://github.com/uswds/uswds.git,"The U.S. Web Design System helps the federal government build fast, accessible, mobile-friendly websites.",5832,868,5832,government+design-systems+design+government+uswds,GitHub
1,gov-takedowns,https://github.com/github/gov-takedowns.git,Text of government takedown notices as received. GitHub does not endorse or adopt any assertion contained in the following notices.,2350,161,2350,government,GitHub
2,democracyos,https://github.com/DemocracyOS/democracyos.git,Democracia en Red is focusing on specific implementations of DemocracyOS. We are working now working with governments and activists all over Latin America. If you are interested in our online participation tools you can check them out on our site.,1753,634,1753,government+voting+democracy+decision-making+poll+javascript+democracyos+deliberation+political-proposals,GitHub
3,wet-boew,https://github.com/wet-boew/wet-boew.git,"Web Experience Toolkit (WET): Open source code library for building innovative websites that are accessible, usable, interoperable, mobile-friendly and multilingual. This collaborative open source project is led by the Government of Canada.",1354,639,1354,government+accessiblity+multilingual+framework+web+wcag,GitHub
4,governmenthub.com,https://github.com/github/government.github.com.git,"Gather, curate, and feature stories of public servants and civic hackers using GitHub as part of their open government innovations",1292,892,1292,government+government+open-government+stories,GitHub
5,open_government,https://github.com/oreillymedia/open_government.git,"Open Government, released as part of #PDFtribute",1285,216,1285,government,GitHub
6,consul,https://github.com/consul/consul.git,Consul - Open Government and E-Participation Web Software,1141,888,1141,government+ruby+agplv3+consul+e-government+democracy+rails+open-government+hacktoberfest,GitHub
7,querido-diario,https://github.com/okfn-brasil/querido-diario.git,"📰 Brazilian government gazettes, accessible to everyone.",719,246,719,government+data-science+machine-learning+politics+artificial-intelligence+open-data+civic-tech+governments-gazettes+govtech+gazette-crawler+spider+hacktoberfest,GitHub
8,design-system-components,https://github.com/govau/design-system-components.git,🛠 Component code and tests for the Australian Government design system,716,96,716,government+design-systems+government+javascript+sass+react+design+css+auds+components,GitHub
9,whitehall,https://github.com/alphagov/whitehall.git,Publishes government content on GOV.UK,660,188,660,government+govuk-publishing-frontend+govuk,GitHub
10,ai-economist,https://github.com/salesforce/ai-economist.git,"Foundation is a flexible, modular, and composable framework to model socio-economic behaviors and dynamics with both agents and governments. This framework can be used in conjunction with reinforcement learning to learn optimal economic policies, as done by the AI Economist (https://www.einstein.ai/the-ai-economist).",628,110,628,government+ai+ml+multi-agent+multi-agent-reinforcement-learning+deep-reinforcement-learning+reinforcement-learning-environments+simulation-framework+python-3+economics,GitHub
