,full_name,link,description,stars,forks,watchers,keywords,source
0,travelover,https://github.com/nomadkode/travelover.git,A website to gives you insight about travel destinations in the world & the hotels nearby.,12,3,12,hotel+travel+website+react+styled-components+react-hooks+react-router,GitHub
1,travel_webapp,https://github.com/devcula/travel_webapp.git,"A full stack web application built from scratch to replicate travel websites and book trains, flights, hotels, bus and cabs. Technology stack includes AngularJS, Java, Hibernate and MySql.",6,0,6,hotel+travel+website+hibernate+sql+sql-script+hotel+database+java+booking+travel+online+angularjs+javascript+css,GitHub
2,responsive-travel-agent-website-for-online-hotel-bookings,https://github.com/TravelXML/responsive-travel-agent-website-for-online-hotel-bookings.git,Responsive travel agent website for hotel and activities bookings.,4,1,4,hotel+travel+website+travel+agent+ota+cleartrip+clone+travelweb+travelagentwebsite+responsive-web-design+responsive+travels+html5+website-template+website-design+website+travel-agency-website,GitHub
3,last-minute-travel,https://github.com/aaronswartz30/last-minute-travel.git,"From hotel deals to airline tickets, to great cruise and vacation packages, LastMinuteTravel.com consistently beats ALL other websites and travel sellers on pricing.  ",4,0,4,hotel+travel+website,GitHub
4,ReviewBasedHotelRecommender,https://github.com/vish0910/ReviewBasedHotelRecommender.git,"Our hotel recommendation prototype  will recommend list of hotels to the user based on the location specified by the user and the hotel reviews and ratings collected from various travel blogs and websites.   •Technologies  used: Hadoop, Mahout, JSON, XML and JAVA",3,0,3,hotel+travel+website,GitHub
5,EllenLine,https://github.com/ArtemPodloboshnikov/EllenLine.git,"This web application was created for a travel Agency called ""EllenLine"". There is also an accounting panel for the accountant and monitoring user activity. There are hotel and flight reservations. The website has a secure database",2,3,2,hotel+travel+website,GitHub
6,Guizhou-tourism-website,https://github.com/jiang-jackson/Guizhou-tourism-website.git,"Guizhou tourism website is a scenery, food, hotels, ethnic customs, fashion as a travel site. Which is developed in the mainstream platform Windows 8.1. It is a dynamic website ,getting the support of integration environment for XAPP, using open source scripting language of PHP to develop and Combining with web front-end development language HTML and CSS. JavaScript, etc.",2,2,2,hotel+travel+website,GitHub
7,Karnal-Travel-agency,https://github.com/Nomanishaq/Karnal-Travel-agency.git,"Karnal Travel is a complete fully loaded dynamic website front-end with admin panel controls. Travel agency for booking with add or remove resort,hotel,restaurants and guide about historical places.Using technologies (php,mysqli).",2,0,2,hotel+travel+website,GitHub
8,Airbnb-Rental-Listings-for-San-Francisco,https://github.com/mxk180040/Airbnb-Rental-Listings-for-San-Francisco.git,"Airbnb is a privately-owned accommodation rental website which allows house owners to rent out their properties to guests looking for a place to stay. Airbnb enables a marketplace where people can rent lodging in residential properties. The main idea is a house-sharing service that offers an opportunity for travellers to get cheaper accommodation wherever they travel to. As of 15 September 2019, hosts have earned more than $80bn sharing their homes and spaces on Airbnb. The offers range from shared rooms to full condos/houses and can offer unique and differentiated options as compared to normal traditional hotels. Airbnb has 31 offices across the world and have hosted 400 million guests since its launch. Opportunity for homeowners to make more money from their homes by sharing with travellers. Airbnb offers complete independence to its hosts to decide on the price for their properties, however with only minimal attributes to leverage upon and compare similar previous listings in their neighbourhood, the hosts find it difficult to come up with a competitive price. With the number of hosts using Airbnb increasing, coming up with the right price to remain competitive in a host’s neighbourhood is important. On the other side, guests can also find places to stay at a reasonable price and understand the seasonal demands. Airbnb has also seen a potential growth with the number of rentals/listings in its website subsequently increasing each year. Through our analysis, we want to address the following: • What time of the year are Airbnb’s most popular in San Francisco? Are specific holiday seasons more popular? • What are the most important characteristics of a listing, and how do they influence price? • Understand the rental landscape in San Francisco through various static and interactive visualisations. • How fast is Airbnb growing in San Francisco? • The exploration results could refer useful knowledge for hosts who search for comparable price and make their listing stand out. • Predict the Airbnb Listing Price in San Francisco • We wanted to do a project that addresses a common issue that could either benefit an organization or the general public. The challenge that Airbnb hosts face is determining the optimal nightly rent price. • Since Airbnb is a marketplace, the amount a host can charge on a nightly basis is closely linked to the dynamics of the marketplace. • Moreover, we wanted to pick a dataset that gives us some scope to perform various analysis. Therefore, we chose the topic AirBnb Rental Listings for San Francisco, United States.",2,0,2,hotel+travel+website,GitHub
9,travel-stories-wordpress-theme,https://github.com/bestwebsoft/travel-stories-wordpress-theme.git,"Travel Stories is a fresh and clean theme for hotel accommodations, travel bloggers, travel agencies and other travel- and tourism-related websites.",1,3,1,hotel+travel+website,GitHub
10,ultimate-travels,https://github.com/chidinma-godwin/ultimate-travels.git,"A travel website for online flight, hotel, and tour booking",1,0,1,hotel+travel+website,GitHub
11,Travel-Quest,https://github.com/Siddhant-Kushwaha/Travel-Quest.git,"A Beautiful Looking Hotel Booking and Travel Planner Website using HTML, CSS and Vanilla JS",1,0,1,hotel+travel+website,GitHub
12,CodeIgniter-GOHUB,https://github.com/Aaris-Kazi/CodeIgniter-GOHUB.git,This is an MVC project based on PHP a Hotels tour and  travel website ,1,0,1,hotel+travel+website+codeigniter+php7+mvc-framework,GitHub
13,Tourismzilla,https://github.com/omvinayakpise/Tourismzilla.git,"Tourismzilla - A Travel Website created using basic web technologies. It helps the users to go through different travel packages and select one of them as its next travel destination. He could also book Train, Flight and Bus tickets through this website also he could go through various hotels and also book them for his next stay.",1,0,1,hotel+travel+website,GitHub
14,Hotel-Reservation-System,https://github.com/Mohamed-Hamdy/Hotel-Reservation-System.git,Hotel Reservation system project it's project have features like popular travel reservation website booking.com You are required to develop similar web application User groups: There are two user groups which are client (a person who wants to book a hotel room) and hotel reservation admin (a person who is responsible to manage reservations),1,0,1,hotel+travel+website,GitHub
15,travel-agency,https://github.com/Arijit1000/travel-agency.git,This is a travel-agency website which ensures customers to see various places around the world and book a holiday trip to their most favourite places. Flight booking and hotel booking also available to their desired places.,1,0,1,hotel+travel+website,GitHub
16,Mumbai,https://github.com/ImgBotApp/Mumbai.git,"A website for tourists traveling in Mumbai. This site will help you to find the popular destinations, history, hotels, etc. to visit in Mumbai. Our site provides short and crisp information about Mumbai.",1,0,1,hotel+travel+website,GitHub
17,TravelSpace,https://github.com/shubham76201/TravelSpace.git,"This is a Travel Website where the customer will come and can book their tickets for any modes like Train, Bus , Flight and for stay they can book Hotels. ",1,0,1,hotel+travel+website+journey+payment-gateway+database,GitHub
18,Vision-Travels-A-Travel-Agency-Website-With-MySQL-Database,https://github.com/adib-muhtasim/Vision-Travels-A-Travel-Agency-Website-With-MySQL-Database.git,"A user friendly website where the customers can book different destinations for travel along with Hotels, Flights and Rental Cars according to their choices. This website provides different kinds of extra features for the customers and the Admin will be able to control and oversee all the operations",1,0,1,hotel+travel+website,GitHub
19,Vision-Travels,https://github.com/Ramisa1231/Vision-Travels.git,"A user friendly website where the customers can book different destinations for travel along with Hotels, Flights and Rental Cars according to their choices. This website provides different kinds of extra features for the customers and the Admin will be able to control and oversee all the operations",1,0,1,hotel+travel+website,GitHub
20,Chatolink,https://github.com/Renukagiri/Chatolink.git,"The Mobile App which serves to fulfill two needs of the user. One is that they can able to chat with their peers and the other one is that they can able to get desired website links based on their search such as travel, hotel, shopping etc.,",1,0,1,hotel+travel+website,GitHub
