,full_name,link,description,stars,forks,watchers,keywords,source
0,leveldb,https://github.com/google/leveldb.git,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,26040,5796,26040,mapping,GitHub
1,SwiftGuide,https://github.com/ipader/SwiftGuide.git,Swift Featured Projects in brain Mapping,15536,3638,15536,mapping+swift+swift-programming-language,GitHub
2,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners.git,"🎮 A step-by-step guide to implementing SSAO, depth of field, lighting, normal mapping, and more for your 3D game.",10859,777,10859,mapping+shaders+3d+graphics+panda3d+game-development+glsl+glsl-shaders+graphics-programming+3d-graphics+hlsl+unity+godot+gamedev+glsl-shader+shader+unity3d+indiedev+opengl+webgl+vulkan,GitHub
3,bert-as-service,https://github.com/hanxiao/bert-as-service.git,Mapping a variable-length sentence to a fixed-length vector using BERT model,9451,1834,9451,mapping+nlp+bert+sentence-encoding+natural-language-processing+natural-language-understanding+tensorflow+word-embedding+deep-learning+deep-neural-networks+machine-learning+ai,GitHub
4,ObjectMapper,https://github.com/tristanhimmelman/ObjectMapper.git,Simple JSON Object mapping written in Swift,8807,994,8807,mapping,GitHub
5,7days-golang,https://github.com/geektutu/7days-golang.git,"7 days golang programs from scratch (web framework Gee, distributed cache GeeCache, object relational mapping ORM framework GeeORM, rpc framework GeeRPC etc)  7天用Go动手写/从零实现系列",7991,1162,7991,mapping+learning+starter-project+golang+scratch,GitHub
6,DensePose,https://github.com/facebookresearch/DensePose.git,A real-time approach for mapping all human pixels of 2D RGB images to a 3D surface-based model of the body,6070,1214,6070,mapping,GitHub
7,Amass,https://github.com/OWASP/Amass.git,In-depth Attack Surface Mapping and Asset Discovery,5610,1039,5610,mapping+go+dns+subdomain+enumeration+recon+osint+osint-reconnaissance+network-security+owasp+maltego+attack-surfaces+information-gathering,GitHub
8,cartographer,https://github.com/cartographer-project/cartographer.git,Cartographer is a system that provides real-time simultaneous localization and mapping (SLAM) in 2D and 3D across multiple platforms and sensor configurations.,5586,1900,5586,mapping+slam+mapping+localization+robotics+self-driving,GitHub
9,react-css-modules,https://github.com/gajus/react-css-modules.git,Seamless mapping of class names to CSS modules inside of React components.,5220,238,5220,mapping,GitHub
10,ecto,https://github.com/elixir-ecto/ecto.git,A toolkit for data mapping and language integrated query.,5161,1221,5161,mapping,GitHub
11,hibernate-orm,https://github.com/hibernate/hibernate-orm.git,Hibernate's core Object/Relational Mapping functionality,4693,2986,4693,mapping+hibernate+java+orm+jpa+jdbc+database+gradle+unitofwork+envers+java8+java8-times,GitHub
12,node-orm2,https://github.com/dresende/node-orm2.git,Object Relational Mapping,3054,395,3054,mapping+database+orm+mysql+postgresql+redshift+sqlite+mongodb,GitHub
13,mapnik,https://github.com/mapnik/mapnik.git,Mapnik is an open source toolkit for developing mapping applications,2985,756,2985,mapping+mapnik+c-plus-plus+mapping+cartography+gis+wiki+python+rendering+beautiful-maps,GitHub
14,vim-unimpaired,https://github.com/tpope/vim-unimpaired.git,unimpaired.vim: Pairs of handy bracket mappings,2587,190,2587,mapping,GitHub
15,trackerjacker,https://github.com/calebmadrigal/trackerjacker.git,"Like nmap for mapping wifi networks you're not connected to, plus device tracking",2274,171,2274,mapping+hacking+wireless+python+scapy+network+packets,GitHub
16,mindmaps,https://github.com/drichard/mindmaps.git,"An open source, offline capable, mind mapping application leveraging HTML5 technologies",2258,531,2258,mapping+mindmap+javascript+html5,GitHub
17,vuex-orm,https://github.com/vuex-orm/vuex-orm.git,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,2238,172,2238,mapping+vue+vuex+vuex-plugin+orm+vuex-orm,GitHub
18,LiveScript,https://github.com/gkz/LiveScript.git,"LiveScript is a language which compiles to JavaScript. It has a straightforward mapping to JavaScript and allows you to write expressive code devoid of repetitive boilerplate. While LiveScript adds many features to assist in functional style programming, it also has many improvements for object oriented and imperative programming. ",2209,167,2209,mapping,GitHub
19,jsmind,https://github.com/hizzgdev/jsmind.git,Javascript version of mind mapping ,2116,640,2116,mapping+javascript+html5-canvas+jsmind-bsd+mind-mapping+mind-map+web-application,GitHub
20,rom,https://github.com/rom-rb/rom.git,Data mapping and persistence toolkit for Ruby,1947,145,1947,mapping+ruby+databases+data-access-layer+sql+nosql+toolkit+rom-rb+ddd+persistence-toolkit+data-mapping,GitHub
21,modelmapper,https://github.com/modelmapper/modelmapper.git,Intelligent object mapping,1810,278,1810,mapping,GitHub
22,xmind,https://github.com/xmindltd/xmind.git,The most popular mind mapping software,1787,501,1787,mapping+xmind+mindmap+eclipse,GitHub
23,amass,https://github.com/caffix/amass.git,In-depth Attack Surface Mapping and Asset Discovery,1679,208,1679,mapping+go+dns+subdomain+enumeration+recon+maltego+owasp,GitHub
24,maplab,https://github.com/ethz-asl/maplab.git,An open visual-inertial mapping framework.,1650,580,1650,mapping+mapping+slam+not-matlab,GitHub
25,xray,https://github.com/evilsocket/xray.git,"XRay is a tool for recon, mapping and OSINT gathering from public networks.",1616,254,1616,mapping+osint+security+network+shodan+intelligence+mapping,GitHub
26,CAM,https://github.com/zhoubolei/CAM.git,Class Activation Mapping,1516,430,1516,mapping,GitHub
27,org-brain,https://github.com/Kungsgeten/org-brain.git,Org-mode wiki + concept-mapping,1487,98,1487,mapping+emacs+org-mode+wiki+concept-map,GitHub
28,rayshader,https://github.com/tylermorganwall/rayshader.git,R Package for 2D and 3D mapping and data visualization,1400,157,1400,mapping,GitHub
29,ohm,https://github.com/soveran/ohm.git,Object-Hash Mapping for Redis,1385,164,1385,mapping+ohm+redis+ruby+lesscode,GitHub
30,perf-map-agent,https://github.com/jvm-profiling-tools/perf-map-agent.git,A java agent to generate method mappings to use with the linux `perf` tool,1369,240,1369,mapping,GitHub
31,LeGO-LOAM,https://github.com/RobustFieldAutonomyLab/LeGO-LOAM.git,LeGO-LOAM: Lightweight and Ground-Optimized Lidar Odometry and Mapping on Variable Terrain,1338,787,1338,mapping+loam+iros+ieee+lidar+odometry+slam+gtsam+isam+mapping+velodyne+imu+lidar-odometry+jackal+ros+ugv,GitHub
32,arguman.org,https://github.com/arguman/arguman.org.git,Argument mapping and analysis platform,1309,147,1309,mapping+critical-thinking+django+computational-linguistics+python+arguman,GitHub
33,geemap,https://github.com/giswqs/geemap.git,"A Python package for interactive mapping with Google Earth Engine, ipyleaflet, and ipywidgets.",1309,567,1309,mapping+google-earth-engine+gis+remote-sensing+image-processing+python+jupyter-notebook+ipyleaflet+mapping+earth-engine+ipywidgets+folium+jupyter+colab+geospatial+landsat+dataviz+data-science,GitHub
34,grid_map,https://github.com/ANYbotics/grid_map.git,Universal grid map library for mobile robotic mapping,1304,554,1304,mapping+ros+grid-map+mapping+terrain+height-map+cpp+opencv+occupancy+elevation+octopmap+pcl+rviz+costmap+navigation,GitHub
35,Chloe,https://github.com/shuxinqin/Chloe.git,A lightweight and high-performance Object/Relational Mapping(ORM) library for .NET  --C#,1286,445,1286,mapping+orm+chloe+c-sharp+dotnet+dotnetcore+mysql+oracle+sqlite+poco+postgresql,GitHub
36,LIO-SAM,https://github.com/TixiaoShan/LIO-SAM.git,LIO-SAM: Tightly-coupled Lidar Inertial Odometry via Smoothing and Mapping,1245,537,1245,mapping+lidar-odometry+lidar-slam+loam-velodyne+lidar-inertial+3d-mapping+slam+ouster-slam+velodyne-slam+ouster+velodyne,GitHub
37,loam_velodyne,https://github.com/laboshinl/loam_velodyne.git,Laser Odometry and Mapping (Loam) is a realtime method for state estimation and mapping using a 3D lidar.,1234,881,1234,mapping+velodyne+ros+loam-velodyne+lidar+pointcloud+pcl+slam+mapping+3d+computer-vision+loam,GitHub
38,Propel2,https://github.com/propelorm/Propel2.git,Propel2 is an open-source high-performance Object-Relational Mapping (ORM) for modern PHP,1181,354,1181,mapping+php+orm,GitHub
39,octomap,https://github.com/OctoMap/octomap.git,"An Efficient Probabilistic 3D Mapping Framework Based on Octrees. Contains the main OctoMap library, the viewer octovis, and dynamicEDT3D.",1174,535,1174,mapping,GitHub
40,PropertyMapper,https://github.com/krzysztofzablocki/PropertyMapper.git,Property mapping for Objective-C iOS apps.,1141,90,1141,mapping,GitHub
41,smarter_csv,https://github.com/tilo/smarter_csv.git,"Ruby Gem for smarter importing of CSV Files as Array(s) of Hashes, with optional features for processing large files in parallel, embedded comments, unusual field- and record-separators, flexible mapping of CSV-headers to Hash-keys",1139,161,1139,mapping,GitHub
42,procedural-gl-js,https://github.com/felixpalmer/procedural-gl-js.git,Mobile-first 3D mapping engine with emphasis on user experience,1101,53,1101,mapping+javascript+3d-maps+procedural-gl-js+webgl+map,GitHub
43,libpointmatcher,https://github.com/ethz-asl/libpointmatcher.git,"An ""Iterative Closest Point"" library for 2-D/3-D mapping in Robotics",1083,455,1083,mapping+libpointmatcher+robotics+ubuntu+point-clouds+libnabo+lidar,GitHub
44,gtsam,https://github.com/borglab/gtsam.git,"GTSAM is a library of C++ classes that implement smoothing and mapping (SAM) in robotics and vision, using factor graphs and Bayes networks as the underlying computing paradigm rather than sparse matrices.",1049,392,1049,mapping,GitHub
45,EVReflection,https://github.com/evermeer/EVReflection.git,"Reflection based (Dictionary, CKRecord, NSManagedObject, Realm, JSON and XML) object mapping with extensions for Alamofire and Moya with RxSwift or ReactiveSwift",963,122,963,mapping+swift+evreflection+json+xml+alamofire+moya+reactiveswift+rxswift+reflection+objectmapper,GitHub
46,osgearth,https://github.com/gwaldron/osgearth.git,A 3D Mapping Engine & SDK for OpenSceneGraph.,961,619,961,mapping+osgearth+openscenegraph+gis+3d-graphics+terrain-visualization,GitHub
47,MappingGenerator,https://github.com/cezarypiatek/MappingGenerator.git,":arrows_counterclockwise: ""AutoMapper"" like, Roslyn based, code fix provider that allows to generate mapping code in design time.",931,84,931,mapping+roslyn+code-generation+mapping+automapper+codegenerator+mapper+dotnet+c-sharp+vsix+visual-studio,GitHub
48,bootleaf,https://github.com/bmcbride/bootleaf.git,Template for building simple and elegant web mapping applications with Bootstrap and Leaflet,906,453,906,mapping,GitHub
49,leafmap,https://github.com/giswqs/leafmap.git,A Python package for interactive mapping and geospatial analysis  with minimal coding in a Jupyter environment,903,79,903,mapping+ipyleaflet+folium+mapping+python+geopython+jupyter-notebook+jupyter+gis+dataviz+data-science+whiteboxtools+geospatial+geospatial-analysis,GitHub
50,earthengine-py-notebooks,https://github.com/giswqs/earthengine-py-notebooks.git,A collection of 360+ Jupyter Python notebook examples for using Google Earth Engine with interactive mapping,898,305,898,mapping+earth-engine+google-earth-engine+gis+remote-sensing+python+notebook+notebook-jupyter+geospatial+tutorials,GitHub
51,Ushahidi_Web,https://github.com/ushahidi/Ushahidi_Web.git,"Ushahidi v2. A platform that allows information collection, visualization and interactive mapping, allowing anyone to submit information through text messaging using a mobile phone, email or web form.",895,646,895,mapping,GitHub
52,Kundera,https://github.com/Impetus/Kundera.git,A JPA 2.1 compliant Polyglot Object-Datastore Mapping Library for NoSQL Datastores.Please subscribe to: ,893,243,893,mapping+kundera+java+nosql+polyglot+jpa,GitHub
53,bidict,https://github.com/jab/bidict.git,The bidirectional mapping library for Python.,878,43,878,mapping+python+bidict+bidirectional+dictionary+mapping+bimap+data-structures,GitHub
54,loam_livox,https://github.com/hku-mars/loam_livox.git,A robust LiDAR Odometry and Mapping (LOAM) package for Livox-LiDAR,867,332,867,mapping+loam+livox-lidar,GitHub
55,immutables,https://github.com/MagicStack/immutables.git,A high-performance immutable mapping type for Python.,849,41,849,mapping+python+immutable-collections+hamt+immutable-datastructures+python3+immutable+frozen,GitHub
56,DumpsterFire,https://github.com/TryCatchHCF/DumpsterFire.git,"""Security Incidents In A Box!""   A modular, menu-driven, cross-platform tool for building customized, time-delayed, distributed security events. Easily create custom event chains for Blue- & Red Team drills and sensor / alert mapping. Red Teams can create decoy incidents, distractions, and lures to support and scale their operations. Build event sequences (""narratives"") to simulate realistic scenarios and generate corresponding network and filesystem artifacts.",807,141,807,mapping+pentesting+hacking+hacking-tool+pentest-tool+automation+security+security-tools+infosec+pentest+red-team+blue-team+red-teams+blue-teams+pentest-tools+hacking-tools,GitHub
57,clever-f.vim,https://github.com/rhysd/clever-f.vim.git,"Extended f, F, t and T key mappings for Vim.",806,36,806,mapping+vim+vim-plugin+cursor-moves,GitHub
58,CppRobotics,https://github.com/onlytailei/CppRobotics.git,"cpp implementation of robotics algorithms including localization, mapping, SLAM, path planning and control",805,286,805,mapping+robotics+cpp+algorithms+planning+localization,GitHub
59,governator,https://github.com/Netflix/governator.git,"Governator is a library of extensions and utilities that enhance Google Guice to provide: classpath scanning and automatic binding, lifecycle management, configuration to field mapping, field validation and parallelized object warmup.",796,172,796,mapping,GitHub
60,Genome,https://github.com/loganwright/Genome.git,"A simple, type safe, failure driven mapping library for serializing JSON to models in Swift 3.0 (Supports Linux)",778,63,778,mapping,GitHub
61,GSLAM,https://github.com/zdzhaoyong/GSLAM.git,"A General Simultaneous Localization and Mapping Framework which supports feature based or direct method and different sensors including monocular camera, RGB-D sensors or any other input types can be handled.",756,238,756,mapping,GitHub
62,SDL_GameControllerDB,https://github.com/gabomdq/SDL_GameControllerDB.git,A community sourced database of game controller mappings to be used with SDL2 Game Controller functionality,738,319,738,mapping,GitHub
63,PTAM-GPL,https://github.com/Oxford-PTAM/PTAM-GPL.git,PTAM (Parallel Tracking and Mapping) re-released under GPLv3.,714,347,714,mapping,GitHub
64,ASP.NET-Core-Template,https://github.com/NikolayIT/ASP.NET-Core-Template.git,"A ready-to-use template for ASP.NET Core with repositories, services, models mapping, DI and StyleCop warnings fixed.",710,118,710,mapping+aspnet-core+aspnetcore+asp-net-core-3-1+asp-net-core+template+aspnetcoretemplate,GitHub
65,asteroids_atlas_of_space,https://github.com/eleanorlutz/asteroids_atlas_of_space.git,"Code, data, and instructions for mapping orbits of asteroids in the solar system",697,83,697,mapping+cartography+dataviz+astronomy+orbit,GitHub
66,voxblox,https://github.com/ethz-asl/voxblox.git,"A library for flexible voxel-based mapping, mainly focusing on truncated and Euclidean signed distance fields.",694,234,694,mapping+voxblox+mapping+robotics,GitHub
67,sentence2vec,https://github.com/klb3713/sentence2vec.git,Tools for mapping a sentence with arbitrary length to vector space,671,226,671,mapping,GitHub
68,SharpMap,https://github.com/SharpMap/SharpMap.git,An easy-to-use mapping library for use in web and desktop applications,660,265,660,mapping+map+gis+sharpmap,GitHub
69,BreezySLAM,https://github.com/simondlevy/BreezySLAM.git,"Simple, efficient, open-source package for Simultaneous Localization and Mapping",650,234,650,mapping,GitHub
70,LVI-SAM,https://github.com/TixiaoShan/LVI-SAM.git,LVI-SAM: Tightly-coupled Lidar-Visual-Inertial Odometry via Smoothing and Mapping,640,170,640,mapping+lidar-odometry+visual-odometry,GitHub
71,Goby,https://github.com/gobysec/Goby.git,Attack surface mapping,622,65,622,mapping+goby+vulnerability-research+scan-tool+security+security-tools+hacking+networking+portscanning+cve+rce+exp+pentesting+exploit+cve-2020-2551+cve-2021-27065+cve-2021-25646+cve-2021-26295+cve-2021-21972+red-team+cve-2021-30128,GitHub
72,KeyValueObjectMapping,https://github.com/dchohfi/KeyValueObjectMapping.git,"Automatic KeyValue Object Mapping for Objective-C, parse JSON/plist/Dictionary automatically",610,95,610,mapping,GitHub
73,BlueMap,https://github.com/BlueMap-Minecraft/BlueMap.git,A Minecraft mapping tool that creates 3D models of your Minecraft worlds and displays them in a web viewer.,604,45,604,mapping+minecraft+minecraft-mod+minecraft-plugin+threejs+webgl+bluemap,GitHub
74,slam_toolbox,https://github.com/SteveMacenski/slam_toolbox.git,Slam Toolbox for lifelong mapping and localization in potentially massive maps with ROS,589,202,589,mapping,GitHub
