,full_name,link,description,stars,forks,watchers,keywords,source
0,nsq,https://github.com/nsqio/nsq.git,A realtime distributed messaging platform,20065,2598,20065,messaging+go+messaging+distributed-systems+queue+message-queue+nsq,GitHub
1,tdesktop,https://github.com/telegramdesktop/tdesktop.git,Telegram Desktop messaging app,16409,3502,16409,messaging+telegram+telegram-desktop+messenger+telegram-solution+multi-platform,GitHub
2,disruptor,https://github.com/LMAX-Exchange/disruptor.git,High Performance Inter-Thread Messaging Library,13973,3408,13973,messaging+disruptor+java+concurrency,GitHub
3,WebViewJavascriptBridge,https://github.com/marcuswestin/WebViewJavascriptBridge.git,An iOS/OSX bridge for sending messages between Obj-C and JavaScript in UIWebViews/WebViews,13766,2899,13766,messaging,GitHub
4,akka,https://github.com/akka/akka.git,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM",11693,3416,11693,messaging+reactive+distributed-systems+concurrency+high-performance+akka+actor-model+distributed-actors+cloud-native+streaming+hacktoberfest,GitHub
5,JSQMessagesViewController,https://github.com/jessesquires/JSQMessagesViewController.git,An elegant messages UI library for iOS,11237,2908,11237,messaging+messaging+message+messenger+ios+viewcontroller+jsqmessagesviewcontroller+ios-ui,GitHub
6,bull,https://github.com/OptimalBits/bull.git,Premium Queue package for handling distributed jobs and messages in NodeJS.,11038,1166,11038,messaging+nodejs+message-queue+job-queue+queue+job+message+priority+scheduler+rate-limiter,GitHub
7,botkit,https://github.com/howdyai/botkit.git,"Botkit is an open source developer tool for building chat bots, apps and custom integrations for major messaging platforms.",10408,2275,10408,messaging+botkit+botkit-studio+microsoft-bot-framework+bot-application+slack+facebook+twilio+cisco-spark+bots+sms+conversational-ui+workplacebyfacebook+microsoft-teams+bot+facebook-bot+facebook-messenger+glitch+making-bots+web-bot+chatbot,GitHub
8,gitmoji,https://github.com/carloscuesta/gitmoji.git,An emoji guide for your commit messages. 😜 ,10169,597,10169,messaging+emoji+gitmoji+commits,GitHub
9,nats-server,https://github.com/nats-io/nats-server.git,"High-Performance server for NATS.io, the cloud and edge native messaging system.",9653,940,9653,messaging+go+golang+messaging+message-bus+message-queue+cloud-native+microservices-architecture+nats-server+distributed-systems+cloud+cloud-computing,GitHub
10,pulsar,https://github.com/apache/pulsar.git,Apache Pulsar - distributed pub-sub messaging system,9396,2318,9396,messaging+pulsar+pubsub+messaging+streaming+queuing+event-streaming,GitHub
11,commitlint,https://github.com/conventional-changelog/commitlint.git,📓 Lint commit messages,8819,526,8819,messaging+git+commit+lint+conventions,GitHub
12,SlackTextViewController,https://github.com/slackhq/SlackTextViewController.git,⛔️**DEPRECATED** ⛔️ A drop-in UIViewController subclass with a growing text input view and other useful messaging features,8427,1113,8427,messaging,GitHub
13,emqx,https://github.com/emqx/emqx.git,"An Open-Source, Cloud-Native, Distributed MQTT Message Broker for IoT.",8421,1529,8421,messaging+mqtt+iot+mqtt-broker+erlang+erlang-mqtt-broker+iot-middleware+broker+m2mqtt+m2m+pubsub+messaging+coap+coap-server+lorawan+lorawan-server+5g+5g-messaging+mqtt-server+iot-broker+iot-server,GitHub
14,disque,https://github.com/antirez/disque.git,Disque is a distributed message broker,7802,539,7802,messaging,GitHub
15,chat,https://github.com/tinode/chat.git,"Instant messaging platform. Backend in Go. Clients: Swift iOS, Java Android, JS webapp, scriptable command line; chatbots",7443,1044,7443,messaging+chat+chat-application+chatapp+go+golang+instant-messaging+messenger+messaging+messaging-api+grpc+chatbots+chatserver+webchat-server+whatsapp+telegram+xmpp,GitHub
16,psr7,https://github.com/guzzle/psr7.git,PSR-7 HTTP message library,7185,225,7185,messaging,GitHub
17,assert,https://github.com/webmozarts/assert.git,Assertions to validate method input/output with nice error messages.,6834,114,6834,messaging,GitHub
18,noty,https://github.com/needim/noty.git,⛔️ DEPRECATED - Dependency-free notification library that makes it easy to create alert - success - error - warning - information - confirmation messages as an alternative the standard alert dialog.,6739,1057,6739,messaging+javascript+notifications+library+push+depracated+obsolete+archived,GitHub
19,http-message,https://github.com/php-fig/http-message.git,The purpose of this PSR is to provide a set of common interfaces for HTTP messages as described in RFC 7230 and RFC 7231,6291,161,6291,messaging+psr+php+php-fig+http,GitHub
20,commit-messages-guide,https://github.com/RomuloOliveira/commit-messages-guide.git,A guide to understand the importance of commit messages and how to write them well,6191,321,6191,messaging,GitHub
21,SwiftMessages,https://github.com/SwiftKickMobile/SwiftMessages.git,A very flexible message bar for iOS written in Swift.,6168,626,6168,messaging+swift+ios+nib+ui+nib-files+snackbar+alerts+ui-components+banner+swift4+ios11+iphone-x,GitHub
22,community-edition,https://github.com/ramboxapp/community-edition.git,Free and Open Source messaging and emailing app that combines common web applications into one.,6004,762,6004,messaging+windows+macos+linux+whatsapp+messenger+skype+email+gmail+outlook+icloud+hangouts+slack+telegram+microsoft-teams+facebook-workplace+custom-services+discord+hipchat+inbox+tweetdeck,GitHub
23,server,https://github.com/gotify/server.git,A simple server for sending and receiving messages in real-time per WebSocket. (Includes a sleek web-ui),6004,325,6004,messaging+golang+notifications+api+react+javascript+gotify+selfhosted+self-hosted+privacy+cloud+hosting+free-software+self-hosting,GitHub
24,aeron,https://github.com/real-logic/aeron.git,"Efficient reliable UDP unicast, UDP multicast, and IPC message transport",5633,675,5633,messaging+messaging+java+c-plus-plus+ipc+multicast-streams+c,GitHub
25,conventional-changelog,https://github.com/conventional-changelog/conventional-changelog.git,Generate changelogs and release notes from a project's commit messages and metadata.,5623,570,5623,messaging+changelog+history+git+tag+metadata,GitHub
26,machinery,https://github.com/RichardKnop/machinery.git,Machinery is an asynchronous task queue/job queue based on distributed message passing.,5462,682,5462,messaging+go+golang+task+task-scheduler+queue+amqp+rabbitmq+redis+memcached+mongodb+aws-sqs,GitHub
27,GameNetworkingSockets,https://github.com/ValveSoftware/GameNetworkingSockets.git,Reliable & unreliable messages over UDP.  Robust message fragmentation & reassembly.  P2P networking / NAT traversal.  Encryption.,5442,363,5442,messaging+reliable-messages+networking+game-development+realtime-messaging+peer-to-peer,GitHub
28,centrifugo,https://github.com/centrifugal/centrifugo.git,Scalable real-time messaging server in language-agnostic way. Set up once and forever.,5182,447,5182,messaging+sockjs+websocket+redis+real-time+messaging+scalability,GitHub
29,ejabberd,https://github.com/processone/ejabberd.git,"Robust, Ubiquitous and Massively Scalable Messaging Platform (XMPP, MQTT, SIP Server)",4938,1433,4938,messaging+erlang+xmpp+jabber+chat+messaging+sip+voip+iot+pubsub+broker+groupchat+stun+turn+ejabberd+jabber-server+mqtt+brokers+server+sip-server,GitHub
30,TSMessages,https://github.com/KrauseFx/TSMessages.git,💌 Easy to use and customizable messages/notifications for iOS à la Tweetbot,4934,761,4934,messaging+notifications+tsmessages+objective-c+cocoapods+ios+library,GitHub
