,full_name,link,description,stars,forks,watchers,keywords,source
0,brandsome,https://github.com/thesandi001/brandsome.git,"identify a merchant's brand name & logo from any transaction description. custom built for fintech startups & banks which deals in credit cards, banking & payment gateway‍.",11,4,11,payment+transaction+merchant+merchant-identity+merchant-payments+credit-card-payments+banking-transactions,GitHub
1,Blockchain-iOS-merchant-app,https://github.com/mrk-9/Blockchain-iOS-merchant-app.git,"Merchants can register a Bitcoin address to receive payments. The app subscribes to the address through the blockchain.info websocket. When an amount is charged, the websocket opens. The transaction hash is obtained from the message received by the websocket when funds are received to the address.",11,3,11,payment+transaction+merchant,GitHub
2,monero-merchant,https://github.com/RuiSiang/monero-merchant.git,"Monero Merchant is a RESTful API wrapper for the official Monero wallet RPC. This project is mainly for merchants who hope to accept Monero as payment, which is currently the most robust and privacy-oriented cryptocurrency with extremely low transaction fees.",9,2,9,payment+transaction+merchant+monero+monero-integrations+monero-api+monero-wallet-rpc+restful-api+koa2+swagger-ui,GitHub
3,payd,https://github.com/libsv/payd.git,"Payd is a work in progress reference implementation of the Payment Protocol/BIP (2)70 which defines a method for handling payment requests from users and the user fulfilling that request. A classic example being a merchant who owns a shop taking payments from customers. It does not run a full node to validate transaction inputs, rather, it will utilise SPV and the Headers Client to leverage merkle proof validation and broadcast using mAPI.",6,1,6,payment+transaction+merchant+bsv+bitcoin+merchant+golang+spv+liteclient+mapi,GitHub
4,MaxCoin,https://github.com/BlockchainLabs/MaxCoin.git,"There is a lot of uncertainty about of Bitcoin, so many turn to the altcoin market to diversity their crypto holdings, only to find more uncertainty. CoinMarketCap lists over 500 coins, and there are probably more. In this brief post, I offer Maxcoin’s qualifications as a worthy investment and trade currency.  Maxcoin has a dedicated, skilled, and cognizant foundation team that understands both the economics and politics of cryptocurrency. Crypto is not just a faster and cheaper payment method and a more secure store of value, it’s about decentralizing the use of currency by removing it from the establishment’s monopoly. Cryptocurrency allows you to buy and sell and give and save apart from state and bank run spy grids and theft rings. Because you own your coins which are transacted with high cryptography on a decentralized public blockchain, there are no extortionate fees, bank runs, frozen accounts, bailouts, or financial surveillance. The Maxcoin team understands the importance of using your coins in privacy and with security.  Our team members also have a various skill from their professional backgrounds in system administration, programming, web design, technical writing, project management, quality assurance, market trading, and others. More important is their enthusiastic entrepreneurship and dedication to expanding and enriching the Maxcoin ecosystem. Our team members spend countless unpaid hours of planning and building for Maxcoin. Learn more about our team here.  We believe Maxcoin has basic advantages that distinguish it from other altcoins. Here are a few:  Fundamentals  Stronger encryption (SHA3), faster transactions (1 minute block time), low inflation (16 coins per block) Budding Maxcoin Foundation with a roadmap to self-sustainability A one-of-a-kind Maxcoin Bounty Program that allows you to anonymously and immediately donate MAX and BTC to crowdsource the development of Maxcoin’s critical infrastructure and ecosystem Markets and Services  Listed on 7 exchanges including Cryptsy, Bittrex, Bittylicious, and BTER with 4 currency pairs Revolutionary Cryptobullion (startjoin.com/maxcoinbullion) that will soon be available from selected bullion dealers. Maxcoin can be spent anywhere Bitcoin is accepted through Coingateway.net Buy over 150 gift cards with Maxcoin (Pock.io) Maxcoin Gambling (Cryptobetfair.com) Integration into multicurrency wallet at Casheer.net, Oct 2015 Community and Exposure  Exposure to over 9,000 followers on twitter, more than Ripple, Darkcoin, NXT and many others with more market cap. Maxcoin Forums (forum.maxcoin.co.uk) and chat (maxchat.info) Other communication channels available at Facebook and Bitcointalk This list of distinguishing characteristics doesn’t change the market price overnight. Like many coins, Maxcoin has seen its share of malicious miners, speculative day traders,  and committed internet trolls. These people are either jealous of the above points or simply foolish and enjoy throwing away treasure. Yes, we are biased, but we genuinely think that Maxcoin is a bargain wonder coin. On the markets, it is at historic lows. But objectively, given its present facts and future goals, Maxcoin is at historic highs. | WHY MAXCOIN MAXCOIN IS MONEY WITHOUT BANKS. USING MAXCOIN, YOU CAN INSTANTLY, SECURELY AND FOR FREE SEND AND RECEIVE PAYMENTS TO FRIENDS, FAMILY AND MERCHANTS WORLDWIDE. A NEW APPROACH TO INNOVATION  MaxCoin is one of the most secure crypto currencies, both because it's based on next generation encryption, SHA3, but also because it's 'open source'. MaxCoin's software is open to inspection and improvement by the best security minds on the planet so that it's mathematically secure. If you don't like paying bank charges, if you don't like the way money is created by banks at no cost to them, and then loaned out to us with interest, then MaxCoin is paving the way to a new money. Open, transparent, and free of charge. Learn more...     • Algorithm: Keccak (SHA-3) • Generation: 100 million MAX • Block time: 1 minute • Block Rewards: 16 coins per block • Halving every ~4 years • Premine: Zero – not premined • Fees: Zero – no transaction fees • Difficulty: Retargets every block ",6,5,6,payment+transaction+merchant,GitHub
5,How-to-integrate-Neteller-Payment-method-on-your-App,https://github.com/robertoashworth/How-to-integrate-Neteller-Payment-method-on-your-App.git,"How to integrate Neteller Payment method on your App   Neteller.com became one of the most popular payment gateways . There are a lot of merchants depend on Neteller as a main payment method for their customers .    How Do Neteller Payment Gateways Work? (1)The cuthstomer places an order on your website by pressing the ""Submit Order"" or equivalent button, or perhaps enters their card details using an automatic phone answering service.    (2) If the order is via Application, the customer's phone browser encrypts the information to be sent between the browser and the merchant's web server through a secure socket layer.     (3)Subsequently, the merchant then forwards the transaction details to their payment gateway like Neteller , through a secure socket layer again.  (4) Afterwards, the payment gateway sends the transaction information to the payment processor used by the merchant's acquiring bank.    (5) Then the payment processor transfers the transaction info to the card association (Visa / Master card).   (6) To get the payment to your Neteller account, you must link a valid credit card with it either Master or Visa.   7) In an intra-transaction from Neteller to Neteller account, it is important that both accounts have valid credit cards for the transaction to go smoothly. Once the buyer makes a payment through Neteller, the amount will be deducted from their credit card balance and the seller will see the value added in their credit card directly.    (8) Protect your account and make sure that the payment goes to your valid credit card on your Neteller accounts. You must enter CVV/CVS number when entering the credit card details as the number is linked to the API created between application and Neteller accounts. Once the link is established then every transaction is going to be checked by matching the number for the transaction to go smoothly.         ( 9 ) After you get the payment to your credit card account, you will have 3 options:  The first is that you can withdraw the funds through ATM.  The second is that you can transfer the funds to your bank account.  The third is that you can deposit the funds into your Neteller account.",4,0,4,payment+transaction+merchant,GitHub
6,pg,https://github.com/Alexintosh/pg.git,Decentralized Payment Gateway that enables Merchants to accept payments in GO and ERC20 tokens without being exposed to the volatility of the specific currency used during the transaction.,3,2,3,payment+transaction+merchant,GitHub
7,HiCoin,https://github.com/BlockchainLabs/HiCoin.git,"Start Of Efficient Digital HIcoin HICoin has many features and advantages.  It has an ideal HIcoin to transfer anywhere, anytime money to friends HIcoin is a Pos(proof-of-stake) Internet currency that enables instant, near-zero cost payments to anyone in the world.    HIcoin’s Key Features HIcoin features faster transaction confirmation times and improved storage efficiency than the leading math-based currency.  HIcoin is open-source; its design is public, nobody owns or controls HIcoin and everyone can take part.  HIcoin network does not require the use of large-scale, specialized hardware operations.  HIcoin is far more energy-efficient than traditional digital currency networks.  Wallet encryption allows you to secure your wallet, so that you can view transactions and your account balance, but are required to enter your password before spending HIcoins.  This provides protection from wallet-stealing viruses and trojans as well as a sanity check before sending payments. Look for hicoin in more point of sale applications soon with recent addition to merchant services.    SPECIFICATIONS   / POS INTEREST: PoS (Proof-of-Stake) 5% yearly (from non-reserved wallet balance)  / ALGORITHM: Scrypt  / SYMBOL: XHI  / BLOCK TIME: 60 sec  / LAST POW BLOCK: 3600  / TOTAL MONEY SUPPLY: 10,000,000,000 XHI  / BLOCK REWARD: BLOCKS 1-10 (premine): each 1,000,000,000 XHI / BLOCKS 11~3600: 100 XHI  / COIN POS AGE: Min. 1 hour / Max. unlimited  / RPC PORT: 35288 (testnet 45288 )  / P2P PORT: 35289 (testnet 45289 )  / Coin maturity: 100 confirmations | KEY FEATURES Security and control over your money secure against the attacks other digital currencies face due to their reliability on large-scale mining operations  Fast international payments HICoin is the ideal digital currency for face to face transactions and all applications that value speed.  1% compound interest yearly You will earn rewards every few days, depending on the size of your holdings, adding up to 5% interest yearly.  FEATURES MESSAGES Big Miners Back Bitcoin Classic As Scaling Debate Evolves Following a months-long debate on how best to scale the bitcoin network to accommodate a greater number of transactions, bitcoin mining firms are voicing their support for a newly introduced proposal called Bitcoin Classic. Though a new entrant to the debate, Bitcoin Classic so far has the support of bitcoin developers including former Bitcoin Core  Read More admin  01/19/2016  - 5 Must-Read Excerpts from the UK Government’s Blockchain Report “The progress of mankind is marked by the rise of new technologies and the human ingenuity they unlock.” That’s the glowing foreword to a new report on blockchain and distributed ledger tech issued by the UK government’s Chief Scientific Adviser this week. Taking a positive outlook on the emerging technology, the document recommends a broad government initiative to develop and demonstrate blockchain and distributed  Read More admin  01/19/2016  - Is Digital Asset’s $50 Million Funding a Blow to Bitcoin? VCs Weigh In Founded in 2014 and led by CEO and ex-JP Morgan executive Blythe Masters, Digital Asset Holdings had long been the subject of speculation that suggested that, despite its high-profile leadership, the startup was having difficulties raising an initial funding round. All that uncertainty was laid to rest last week, however, when Digital Asset silenced rumors  Read More admin  01/12/2016  0 Our Team Project Manager TIMO SPRAY  Business Development JASON LANE  Art Director TONYA GARCIA  Account Manager ASHLEY SUJAN It Has An Ideal Hicoin To Transfer Anywhere, Anytime Money To Friends. WALLET ",3,5,3,payment+transaction+merchant,GitHub
8,PointOfSale,https://github.com/ayushreal/PointOfSale.git,"The point of sale (POS) or point of purchase (POP) is the time and place where a retail transaction is completed. At the point of sale, the merchant calculates the amount owed by the customer, indicates that amount, may prepare an invoice for the customer (which may be a cash register printout), and indicates the options for the customer to make payment.",2,2,2,payment+transaction+merchant+pointofsale+management-system+management-project+java-porject+core-java-projects,GitHub
9,epos-system,https://github.com/SrimalPriyanga/epos-system.git,"Electronic Point of Sales System. --Point of sale (also called POS or checkout, during computerization later becoming electronic point of sale or EPOS) is the place where a retail transaction is completed. It is the point at which a customer makes a payment to the merchant in exchange for goods or services. At the point of sale the retailer would calculate the amount owed by the customer and provide options for the customer to make payment. The merchant will also normally issue a receipt for the transaction. (Definition uproot from Wikipedia)",2,1,2,payment+transaction+merchant,GitHub
