,full_name,link,description,stars,forks,watchers,keywords,source
0,vue-storefront,https://github.com/vuestorefront/vue-storefront.git,"The open-source frontend for any eCommerce. Built with a PWA and headless approach, using a modern JS stack. We have custom integrations with Magento, commercetools, Shopware and Shopify and total coverage is just a matter of time. The API approach also allows you to merge VSF with any third-party tool like CMS, payment gateways or analytics. Newest updates: https://blog.vuestorefront.io. Always Open Source, MIT license.",8720,1876,8720,payments+vue-storefront+pwa+headless+vue+ecommerce+magento+storefront+mobile+e-commerce+nuxt+magento2+shopware+shopify+commercetools+vue3+open-source+typescript+hacktoberfest+headless-commerce+ecommerce-platform,GitHub
1,omnipay,https://github.com/thephpleague/omnipay.git,"A framework agnostic, multi-gateway payment processing library for PHP 5.6+",5341,852,5341,payments,GitHub
2,active_merchant,https://github.com/activemerchant/active_merchant.git,Active Merchant is a simple payment abstraction library extracted from Shopify. The aim of the project is to feel natural to Ruby users and to abstract as many parts as possible away from the user to offer a consistent interface across all supported gateways.,4331,2452,4331,payments,GitHub
3,btcpayserver,https://github.com/btcpayserver/btcpayserver.git,"Accept Bitcoin payments. Free, open-source & self-hosted, Bitcoin payment processor. ",2837,675,2837,payments+bitcoin+payment-processor,GitHub
4,react-native-wechat,https://github.com/yorkie/react-native-wechat.git,"🚀 WeChat login, share, favorite and payment for React-Native on iOS and Android platforms (QQ: 336021910)",2829,706,2829,payments+wechat+wechat-sdk+android+ios+react-native+mit+js,GitHub
5,cypress-realworld-app,https://github.com/cypress-io/cypress-realworld-app.git,"A payment application to demonstrate real-world usage of Cypress testing methods, patterns, and workflows.",2400,565,2400,payments+cypress+testing+testing-practices+end-to-end-testing+code-coverage+xstate+payment-application+lowdb,GitHub
6,killbill,https://github.com/killbill/killbill.git,Open-Source Subscription Billing & Payments Platform,2337,573,2337,payments+killbill+billing+payments+subscriptions,GitHub
7,payment,https://github.com/helei112g/payment.git,Payment是php版本的支付聚合第三方sdk，集成了微信支付、支付宝支付、招商一网通支付。提供统一的调用接口，方便快速接入各种支付、查询、退款、转账能力。服务端接入支付功能，方便、快捷。,2274,691,2274,payments+alipay+weixin-pay+cmb+payment+alipaysdk+wechat-pay,GitHub
8,react-credit-cards,https://github.com/amaroteam/react-credit-cards.git,Beautiful credit cards for your payment forms,2172,217,2172,payments+react+react-component+payment+credit-card,GitHub
9,expressCart,https://github.com/mrvautin/expressCart.git,"A fully functioning Node.js shopping cart with Stripe, PayPal, Authorize.net, PayWay, Blockonomics, Adyen, Zip and Instore payments.",2025,777,2025,payments+cart+payment-provider+shopping-cart+paypal+stripe+paypal-payments+nodejs+javascript+authorize-net+adyen+payway+westpac+instore+blockonomics+zip,GitHub
