,full_name,link,description,stars,forks,watchers,keywords,source
0,active_shipping,https://github.com/Shopify/active_shipping.git,ActiveShipping is a simple shipping abstraction library extracted from Shopify,802,518,802,shipping+shipping,GitHub
1,ambient-shipping,https://github.com/marcdacosta/ambient-shipping.git,This repo contains utilities for capturing AIS messages and joining them with shipping records.,412,27,412,shipping,GitHub
2,delivery-tracker,https://github.com/shlee322/delivery-tracker.git,🚚 Delivery and Shipping Tracking Service,369,108,369,shipping+shipping+tracking+delivery+tracker,GitHub
3,cernan,https://github.com/postmates/cernan.git,"telemetry aggregation and shipping, last up the ladder",307,12,307,shipping+telemetry+statsd+graphite+influxdb+prometheus+telemetry-aggregation+metrics,GitHub
4,intermodal,https://github.com/casey/intermodal.git,📦 Intermodal: A 40' foot shipping container for the internet,250,12,250,shipping,GitHub
5,IndieSupportWeeks,https://github.com/JohnSundell/IndieSupportWeeks.git,A two-week effort to help support indie developers shipping apps on Apple's platforms who have been financially impacted by the COVID-19 pandemic.,185,103,185,shipping,GitHub
6,DHL-API,https://github.com/alfallouji/DHL-API.git,"This library provides a PHP client for the DHL XML Services. DHL XML Services is an online web services integration capability that provides DHL’s service availability, transit times, rates, shipment and courier pickup booking along with shipment tracking from over 140 countries around the world. Using DHL’s XML Services, customers can incorporate DHL shipping functionality into their websites, customer service applications or order processing systems.",182,131,182,shipping,GitHub
7,shipkit,https://github.com/mockito/shipkit.git,Toolkit for shipping it used by Mockito library,156,34,156,shipping+gradle-plugin+mockito-release+continuous-delivery+release-automation+release-notes,GitHub
8,shippo-php-client,https://github.com/goshippo/shippo-php-client.git,"Shipping API PHP library (USPS, FedEx, UPS and more)",151,77,151,shipping+shipping-api+shipping-label+php+ups+dhl+usps+fedex+carriers+shipping,GitHub
9,woocommerce-correios,https://github.com/claudiosanches/woocommerce-correios.git,Correios shipping to the WooCommerce WordPress plugin,137,95,137,shipping,GitHub
10,spree_active_shipping,https://github.com/spree-contrib/spree_active_shipping.git,Spree integration for Shopify's active_shipping gem.,135,216,135,shipping,GitHub
11,logjam,https://github.com/gocardless/logjam.git,a log shipping tool,133,9,133,shipping,GitHub
12,pyShipping,https://github.com/hudora/pyShipping.git,pyShipping provides connections to interface with shipping companies and to transport shipping related information.,129,59,129,shipping,GitHub
13,react-native-checklist,https://github.com/harrisrobin/react-native-checklist.git,📝 From idea to app store. A recommended check list for shipping react-native apps.,119,4,119,shipping+checklist+react-native+react-native-tutorial,GitHub
14,shippo-node-client,https://github.com/goshippo/shippo-node-client.git,"Shipping API Node.js library (USPS, FedEx, UPS and more)",113,46,113,shipping+shipping-label+javascript+carriers+fedex+usps+ups+dhl+shipping-api+shipping,GitHub
15,MagentoExtensions,https://github.com/5mehulhelp5/MagentoExtensions.git,"Magento Extension Directory 1> Themes Switcher 2> Default Shipping On Cart 3> Upshare 4> Product Image Optimizer  5> Idealo Product Export  6> magento Google shopping Api v2 7>Google feed and facebook feed 8> Pdf upload in magento media wysiwyg 9> Product Image optimizer. If You want magento 2 extensions 1>Advance Layred Navigation(including SEO URL, Rating as filter, slider filter, Ajax Filtering), 2>Attribute Pages with SEO and Custom URL key(you can do all kind of seo on those pages with logos) 3>Improved Sorting (Enable users to view products by options as 'Best Sellers', 'Top Rated', 'Most Viewed' etc.) 4>Custom Stock Status(Add statuses to products automatically or manually, Create multiple custom stock statuses, Upload special icons for stock statuses) 5>Product Labels(Using this extension you can add any label to your produts on product page or category page) 6>Custom Order Number(Using this extension you can customize order, invoice, shippment, credit memo Number) 7>All type of file upload in Wysiwyg(pdf, zip, doc etc file upload in wysiwyg), 8>Infinite Scroll,  9>Multiple FlatRate Shipping,  10>Open Api,Google api for currency Rates,  11>Product Attribute's Description, 12>Store and Currency switcher according to Ip address  Please Contact me and All those extensions are paid with installation and configuration are free support.",110,108,110,shipping+magento+magento2+magento-extension+magento2-extension+magento-module+magento2-module+magento1+extensions+module+php+theme-switcher+backend-utility+frontend-utility+stock-status+wysiwyg+image-optimization+google-shopping+image-optimisation,GitHub
16,easypost-node,https://github.com/EasyPost/easypost-node.git,EasyPost Shipping API Client Library for Node,108,47,108,shipping,GitHub
17,wext-shipit,https://github.com/LinusU/wext-shipit.git,"Automate the process of shipping Web Extensions for Chrome, Firefox, Safari, Opera and Edge",107,14,107,shipping,GitHub
18,firegento-pdf,https://github.com/firegento/firegento-pdf.git,"Generates nicer and configurable PDF for invoices, creditmemos and shippings in Magento",103,66,103,shipping+magento+magento-extension,GitHub
19,spree_drop_ship,https://github.com/spree-contrib/spree_drop_ship.git,Spree Drop Shipping Extension,99,119,99,shipping,GitHub
20,shippo-python-client,https://github.com/goshippo/shippo-python-client.git,"Shipping API Python library (USPS, FedEx, UPS and more)",89,49,89,shipping+shipping+shipping-api+carriers+fedex+ups+usps+dhl+python+shipping-label+tracking-api,GitHub
21,woocommerce-services,https://github.com/Automattic/woocommerce-services.git,"WooCommerce Services is a feature plugin that integrates hosted services into WooCommerce (3.0+), and currently includes automated tax rates and the ability to purchase and print USPS shipping labels.",87,25,87,shipping+hacktoberfest,GitHub
22,lambda-logging-demo,https://github.com/theburningmonk/lambda-logging-demo.git,"Demo for shipping logs to ELK stack, and to auto-subscribe new log groups",86,30,86,shipping,GitHub
23,active_utils,https://github.com/Shopify/active_utils.git,"Active Utils extracts commonly used modules and classes used by Active Merchant, Active Shipping, and Active Fulfillment",84,87,84,shipping,GitHub
24,easypost-ruby,https://github.com/EasyPost/easypost-ruby.git,EasyPost Shipping API Client Library for Ruby,83,72,83,shipping,GitHub
25,magento2-custom-shipping-rate,https://github.com/magepal/magento2-custom-shipping-rate.git,Create your own Custom Shipping rates for admin order or a predefined sets of shipping methods for frontend customers.,83,29,83,shipping+magento2+custom-shipping-rate+magento+magento2-extension+magento2-module+shipping-module+shipping-rates+shipping+magento-admin+magento-shopping-cart+shipping-methods+custom-shipping-rates+magento2-custom-shippiing,GitHub
26,easypost-python,https://github.com/EasyPost/easypost-python.git,EasyPost Shipping API Client Library for Python,74,45,74,shipping,GitHub
27,ecommerce-laravel,https://github.com/mhmdomer/ecommerce-laravel.git,Full-featured E-commerce Laravel application from start to finish ( excluding payments and shipping ) with clean and simple UI,74,22,74,shipping+laravel+algolia-search+paypal+voyager+stripe+ecommerce-website+ecommerce-laravel-fullstack,GitHub
28,javascript-library-template,https://github.com/vvo/javascript-library-template.git,"JavaScript library template to focus on ⌨️ coding, 🙌 collaborating and 🚀 shipping",73,8,73,shipping,GitHub
29,shippo-ruby-client,https://github.com/goshippo/shippo-ruby-client.git,"Shipping API Ruby library (USPS, FedEx, UPS and more)",69,68,69,shipping+ruby+shipping-api+shipping-label+ups+fedex+usps+dhl+carriers+shipments,GitHub
30,DotNetShipping,https://github.com/kylewest/DotNetShipping.git,"UPS, FedEx, USPS shipping rate calculators for .NET",68,71,68,shipping,GitHub
31,python-appveyor-conda-example,https://github.com/rmcgibbo/python-appveyor-conda-example.git,Demo project for building and shipping Python conda packages with Appveyor CI and Travis CI,66,35,66,shipping,GitHub
32,magento2-custom-shipping,https://github.com/MagePsycho/magento2-custom-shipping.git,Custom Shipping Module for Magento 2,64,34,64,shipping+magento2+magento-extension+magento2-extension+magento2-module+shipping-module+shipping-fee+php+php7,GitHub
33,hardhat-starter-kit,https://github.com/smartcontractkit/hardhat-starter-kit.git,"A repo for boilerplate code for testing, deploying, and shipping chainlink solidity code. ",61,33,61,shipping+chainlink+hardhat+javascript,GitHub
34,o365beat,https://github.com/counteractive/o365beat.git,Elastic Beat for fetching and shipping Office 365 audit events,57,22,57,shipping+elasticsearch+beats+beat+office365+o365+audit+logs+security+logstash+elk,GitHub
35,shipping-calculator,https://github.com/carolineschnapp/shipping-calculator.git,To use in Shopify to add a shipping rates calculator to the cart page. Requires jQuery.,57,43,57,shipping,GitHub
