,full_name,link,description,stars,forks,watchers,keywords,source
0,ticket,https://github.com/eyobofficial/ticket.git,"An ecommerce website for selling tickets for sport events, concerts and festivals.",8,2,8,sport+website+event,GitHub
1,ThunderSport,https://github.com/Shiwsahaya/ThunderSport.git,"It's a Sport Event Management project based on HTML, CSS, JAVASCRIPT, BOOTSTRAP, PHP Responsive Website.",3,0,3,sport+website+event,GitHub
2,invincibleArena,https://github.com/invincible0/invincibleArena.git,Website to host sport events,2,0,2,sport+website+event,GitHub
3,sport-aarhus-events-d7,https://github.com/itk-dev/sport-aarhus-events-d7.git,Sport Aarhus Event website,1,0,1,sport+website+event,GitHub
4,Live_sportz,https://github.com/sami14996/Live_sportz.git,"The project is about developing an Online ""Sports Illustrated"". It is an Online version of a weekly magazine which publishes different updates related to different Sports. This website, is aimed at providing latest news and events related to different Sports. All the recent match results in the respective Sports are provided in different tabs. Rankings and profiles of different players are also included in order to help the user to be updated with the recent ""match-winners"" in respective Sports, except Tennis, as it is the First-Person Sports. A Quiz is included for the Sport enthusiasts to test their knowledge of different Sports. Quiz results are displayed in form of Points as well as Percentage. Website is developed by using all the guidelines and restrictions in respect of the Domain",1,0,1,sport+website+event,GitHub
5,Event-Live-Score,https://github.com/ritikgaikwad38/Event-Live-Score.git,"In college events we mostly use pen and paper for scoreboard. If that particular paper is lost because of some reasons so our scoreboard is also lost. So we have developed a web application for updating live scores and constructed a website to view Live Scores.  There have been several tries at predicting sport games using data from the past, but humans are still superior at predicting sport outcomes. There are multiple commercial services which have sports analysis and prediction as their main business. They use “sophisticated software and statistical algorithms” to aid their data tracking, but at the core they still have experts analysing the games manually. In the present article, we proposed the system to provide a switch section for the live updated scores of Events. We use the API of Live Score for matches. System shows the live score for all matches. This system is implemented by using php and mysql apache server for client server communication.  This system is designed to minimize the Volunteer effort for maintaining a Scoreboard. As the Updating Scoreboard process is done without any human interference, which is the main scope in the system, the aim is completed.",1,0,1,sport+website+event,GitHub
6,poll,https://github.com/Teppo652/poll.git,"Test Assignment - Project Sports Poll  Overview The ""Sports Poll"" app is a dead simple poll system around some sports events which can be fetched from this JSON file It allows users to vote on each event and then shows another random event to vote on. There should be one poll, that displays one (random) category at a time. E.g. load Football category       with poll options to vote on from DB, and only display those at a time, next browser reload would maybe display Tennis. The polling options should be what team will win or if it will be a draw, e.g. ● Home Team win (Team A) ● Draw ● Away Team win (Team B)    Delivery When you have completed the task, we’d like you to deliver the following: ● A description of what you have done and how far you got in time allotted for the work on the project. ● Which development tools you used and your general progression on the key issues, what you got stuck on, what you did or didn’t solve etc. ● A step by step instruction to how to run the project. ● Share the source code in a private code hosting on Bitbucket or Github (Bitbucket has free private repositories).  ○ For Bitbucket - Share that repository giving admin permissions to bojan.zrnic@itengine.rs and GLOMOadmin and send the URL in an email to dev@glomo.se. ○ For Github - Share that repository giving admin permissions to zrnicbojan and adminglomo and send the URL in an email to dev@glomo.se.      Tasks and deliverables per job position  Junior Frontend Developer This exercise is expected to take 3 to 6 hours to complete.   1. Create a page with the best design practices in mind for this small application. The design will be taken into consideration and should be visually pleasant and user friendly. 2. You are free to use any modern Javascript framework that you’d like. The choice of framework may impact the way we assess your assignment. 3. It’s not allowed to use any CSS framework like Bootstrap or similar. 4. The JSON file with the events can be accessed directly from the frontend or hardcoded in the website. 5. The odds can be generated randomly. There is no need to keep track of votes across page reloads.    Senior Frontend Developer This exercise is expected to take 4 to 8 hours to complete.         1. Create a page with the best design practices in mind for this small application. The design will be taken into consideration and should be visually pleasant and user friendly. 2. You are free to use any modern Javascript framework that you’d like. The choice of framework may impact the way we assess your assignment. 3. It’s not allowed to use any CSS framework like Bootstrap or similar. 4. The JSON file with the events can be accessed directly from the frontend or hardcoded in the website. 5. The page should be responsive and work well across different types of devices (desktop, mobile, tablet). 6. Keep event votes stored in a browser local storage so they can persist across page reloads. 7. Add different kind of visualisations based on event attributes (country, state, sport and so on). It is up to you to decide how to best represent the data. 8. Add a couple of automated tests.    Fullstack Developer This exercise is expected to take 5 to 10 hours to complete.   1. Create a backend for Sports Poll. The backend should be created using Node.js. Whichever Node.js framework you select will not impact the way we assess your test. 2. At start, fetch the events from the JSON file and store them in a local database of your choice. 3. Create a backend API to read events. 4. Create a backend API for voting for events (home win, draw, away win). 5. Create a page with the best design practices in mind for this small application. The design will be taken into consideration and should be visually pleasant and user friendly. 6. You are free to use any modern Javascript framework that you’d like. The choice of framework may impact the way we assess your assignment. 7.   8. It’s not allowed to use any CSS framework like Bootstrap or similar. 9. The page should be responsive and work well across different types of devices (desktop, mobile, tablet). 10. Add a couple of automated tests.    Senior Fullstack Developer This exercise is expected to take 7 to 15 hours to complete.   1.     Create a backend for Sports Poll. The backend should be created using Node.js. Whichever Node.js framework you select will not impact the way we assess your test. 2.     At start, fetch the events from the JSON file and store them in a local database of your choice. 3.     Create a backend API to read events.       4.     Create registration/login for the Sports Poll. It could be either with regular email address or Facebook login. 5.     Create a backend API for voting for events (home win, draw, away win), keep track of the votes. Only allow logged users to vote and don’t allow more than one vote per user for each event. 6.     Create a page with the best design practices in mind for this small application. The design will be taken into consideration and should be visually pleasant and user friendly. 7.     You are free to use any modern Javascript framework that you’d like. The choice of framework may impact the way we assess your assignment. 8.     It’s not allowed to use any CSS framework like Bootstrap or similar. 9.     The page should be responsive and work well across different types of devices (desktop, mobile, tablet). 10.  Add a couple of automated tests. ",1,0,1,sport+website+event,GitHub
7,TouristChatSDK,https://github.com/xiaprojects/TouristChatSDK.git,"Find buddy who shares the same interest like you in trip and start chatting right here, right now! Falling in love with the best taste in the world? Travelling to find new taste? Chat with other tourist to find the right place to share a meal or a trip. Sport and Wellness are welcome: enjoy thousand of travel guide or tourist to play together to many available sports: right here, right now experience! Find a professional buddy or a tourist like you to have this trip together visiting the best places any interesting venue in any interesting city all around the world. No reservations, no tickets, no early hassles: you land, you get to the venue and you tap on any point of interest. Check-in at any venue to be found and to meet travel buddies right from your smartphone. And when you find a buddy, just start messaging with one tap.  What you'll find in Travel guide finder: - Hundreds of venues - Thousands of travel buddies - Thousands of registered professional travel guides - Georeferenced venues/POIs - Sport and Social Entertainment - Monuments - Wineries - Best Food Places and Events - Activities - Transportation - Services - Coupons and Discounts - Local Advertising - A travelbot always available - Personal Blog or Facebook Page - Unesco Venues - GPX Track with Elevation for Trekking Tours  Open the app and select a venue around you: you'll immediately see the list of available travel guides or buddies. Real people in real time, ready to take a tour with you. Rome, Paris, New York, London, Florence, Berlin and any other wonderful city you can name...no matter where you want to spend your holidays or spare time: with Travel guide finder you will never be alone.  Would you like to advertise to thousand of tourist across this application? Join now and follow the online video tutorials Are you a professional guide? Join now and share your knowledge Are you offering transportation service? Join now and advertise your professional services Are you a smart student that is ready to work together? Join now and start supporting tourists  Demo Video https://youtu.be/TmozUb_gahk  How to share tour and services https://youtu.be/DhEN5q_iovQ  Facebook Official Page: https://www.facebook.com/touristchat/  Official Website: https://www.travelguidefinder.com  Slideshare Presentation http://www.slideshare.net/XiaProjectsTeam/travel-guide-finder-turist-chat-and-find-professional-guide http://www.slideshare.net/XiaProjectsTeam/make-money-with-travel-guide-finder-platform http://www.slideshare.net/XiaProjectsTeam/investment-pitch-travel-guide-finder-the-company  LinkedIn Tourist Chat Company https://www.linkedin.com/company-beta/11054310/",1,0,1,sport+website+event,GitHub
8,web,https://github.com/AJISJPRAKASH/web.git,sport event management website,0,0,0,sport+website+event,GitHub
9,tic2018,https://github.com/marceauclavel/tic2018.git,website designed for the TOURNOI INTERCENTRALES 2018 sport event,0,0,0,sport+website+event,GitHub
