,full_name,link,description,stars,forks,watchers,keywords,source
0,Regression,https://github.com/RiveraDaniel/Regression.git,"This application constitutes a didactic modeling process. The user can try to perform a linear regression model based on the ordinary least squares method step by step.  The application addresses a safety problem in the rural areas of Antioquia - Colombia. Through variables related to education, sport and safety itself, we seek to obtain a statistically valid model with a good adjusted R squared.",10,16,10,statistic+sport,GitHub
1,UseR2018,https://github.com/skoval/UseR2018.git,Material for the UseR Conference: Statistical Models for Sport in R,7,5,7,statistic+sport,GitHub
2,My-Sports-Companion,https://github.com/bd21/My-Sports-Companion.git,Sport Statistic Comapnion App,1,0,1,statistic+sport,GitHub
3,Sport-Site,https://github.com/Adam-Kosciukiewicz/Sport-Site.git,Sport statistic page,1,0,1,statistic+sport+react+scss+express+react-router,GitHub
4,FantasyLeague,https://github.com/Krismix1/FantasyLeague.git,A fantasy league is a type of online game where participants assemble virtual teams of real players of a professional sport. These teams compete based on the statistical performance of those users' players in actual games. In this case we are going to work on English Premier League.,1,0,1,statistic+sport,GitHub
5,Event-Live-Score,https://github.com/ritikgaikwad38/Event-Live-Score.git,"In college events we mostly use pen and paper for scoreboard. If that particular paper is lost because of some reasons so our scoreboard is also lost. So we have developed a web application for updating live scores and constructed a website to view Live Scores.  There have been several tries at predicting sport games using data from the past, but humans are still superior at predicting sport outcomes. There are multiple commercial services which have sports analysis and prediction as their main business. They use “sophisticated software and statistical algorithms” to aid their data tracking, but at the core they still have experts analysing the games manually. In the present article, we proposed the system to provide a switch section for the live updated scores of Events. We use the API of Live Score for matches. System shows the live score for all matches. This system is implemented by using php and mysql apache server for client server communication.  This system is designed to minimize the Volunteer effort for maintaining a Scoreboard. As the Updating Scoreboard process is done without any human interference, which is the main scope in the system, the aim is completed.",1,0,1,statistic+sport,GitHub
6,Prediction-of-Atheletes-Performance,https://github.com/Adithya1832002/Prediction-of-Atheletes-Performance.git,"Predicting-Athlete-Performance An athlete performance can be determined by many factors such as height, age, and weight. Hence, we analyse which of these factors affect the performance of the athlete the most. Here we use statistical methods like correlation, regression and hypothesis testing. This project helps us to predict the chance of winning in the Olympic games and also helps to choose the most appropriate one among all the athletes by a country for the Olympic games.  METHODOLOGY  We use R language and MS Excel for this project. First using MS Excel, we filtered our dataset which contained unwanted data’s like name, nationality, year. In R, we have stored the data of each sport in an index of a list. Then we get input from the user to select the sports we want to know about. After the sports is selected by the user, the p value is checked for the variables. Further analysis can be done only if the p-value is lesser than 0.5. This ensures that there is a strong relationship between the variables and further analysis carried out will be correct. Next we plot correlation matrix and scatter plot to know the relation between medals and age, height and weight. Then finally we find the regression equation so the end user can simply give in age, height and weight inputs and can select the highest value for medal.  TECHNIQUES USED IN STATISTICS:  Correlation Regression P-value FUNCTIONS USED IN R:  pairs.panel() lm() summary() Correlation: Correlation is a statistical technique that can show whether and how strongly pairs of variables are related. For example, height and weight are related; taller people tend to be heavier than shorter people. Like all statistical techniques, correlation is only appropriate for certain kinds of data. Correlation works for quantifiable data in which numbers are meaningful, usually quantities of some sort. It cannot be used for purely categorical data, such as gender, brands purchased, or favourite colour. The correlation coefficient that indicates the strength of the relationship between two variables can be found using the following formula:  Where: • rxy – the correlation coefficient of the linear relationship between the variables x and y • xi – the values of the x-variable in a sample • x̅ – the mean of the values of the x-variable • yi – the values of the y-variable in a sample • ȳ – the mean of the values of the y-variable  Regression: In statistical modelling, regression analysis is a set of statistical processes for estimating the relationships between a dependent variable (often called the 'outcome variable') and one or more independent variables (often called 'predictors', 'covariates', or 'features'). The most common form of regression analysis is linear regression, in which a researcher finds the line (or a more complex linear function) that most closely fits the data according to a specific mathematical criterion.  Multiple linear regression analysis is essentially similar to the simple linear model, with the exception that multiple independent variables are used in the model. The mathematical representation of multiple linear regression is: Y = a + bX1 + cX2 + dX3 + ϵ  Where: • b, c, d – slopes • Y – dependent variable • X1, X2, X3 – independent (explanatory) variables • a – intercept • ϵ – residual (error)  P-Values: The p-value for each term tests the null hypothesis that the coefficient is equal to zero (no effect). A low p-value (< 0.05) indicates that you can reject the null hypothesis. In other words, a predictor that has a low p-value is likely to be a meaningful addition to your model because changes in the predictor's value are related to changes in the response variable. Conversely, a larger (insignificant) p-value suggests that changes in the predictor are not associated with changes in the response. The variables used in this test are: • Dependent variable : Medal • Independent variable : Age, Height and Weight  How to Run Download the code.R file and the dataset (Extract the athlete_events.rar) to the same directory.  Run the first line of the code seperately i.e., Give the input seperately. For example, Enter the sport : Taekwondo  After giving the input, run the remaining lines of the code.",1,0,1,statistic+sport,GitHub
7,SportStats,https://github.com/ozkanada/SportStats.git,Sport statistic,0,0,0,statistic+sport,GitHub
8,SportStatsRepository,https://github.com/ozkanada/SportStatsRepository.git,Sport statistic,0,0,0,statistic+sport,GitHub
9,SporStats,https://github.com/ozkanada/SporStats.git,Sport statistic,0,0,0,statistic+sport,GitHub
10,fluffy-bassoon,https://github.com/shamikaze/fluffy-bassoon.git,MyRace - Sport Statistical Analysis,0,0,0,statistic+sport,GitHub
11,FlyballStats,https://github.com/ValiantWoj/FlyballStats.git,Dog Sport statistical app for tournaments,0,0,0,statistic+sport,GitHub
12,Blue42,https://github.com/Casey6624/Blue42.git,WordPress theme for sport statistic sites.,0,0,0,statistic+sport,GitHub
13,sportStat,https://github.com/boxjam/sportStat.git,An attempt to combine statistical analysis with sport,0,0,0,statistic+sport,GitHub
14,statisticbetbot,https://github.com/ceigh/statisticbetbot.git,Store your sport bets and keep statistic for it.,0,0,0,statistic+sport+telegram+bot+bets+heroku,GitHub
