,full_name,link,description,stars,forks,watchers,keywords,source
0,soundcloud-audio.js,https://github.com/voronianski/soundcloud-audio.js.git,:musical_note: SoundCloud tracks and playlists with HTML5 Audio API,266,42,266,track+playlist+audio+soundcloud+html5-audio,GitHub
1,soundcloud-soundmanager-player,https://github.com/kilokeith/soundcloud-soundmanager-player.git,"A custom, evented SoundCloud player that uses SoundManager2 to handle audio. Completely decoupled from your HTML/CSS to just handle audio/playlists/tracks, but has events that are easy to hook into. Also includes a waveform module that is loosely coupled to your HTML.",112,22,112,track+playlist+audio,GitHub
2,html5audioplayer,https://github.com/bradtraversy/html5audioplayer.git,"HTML5 Audio Player uses the HTML5 audio API to create playlists and play, pause and skip through tracks.",45,51,45,track+playlist+audio,GitHub
3,Bellows,https://github.com/casualchameleon/Bellows.git,A module for FoundryVTT which adds support for youtube tracks in audio playlists and ambient sounds,24,15,24,track+playlist+audio,GitHub
4,responsive-jPlayer,https://github.com/derick-montague/responsive-jPlayer.git,A responsive audio player utilizing the open source jPlayer library and circle player. This player has a playlist that is defined using either JSON or XML and the ability to add static track durations.,20,17,20,track+playlist+audio,GitHub
5,kmusicplay,https://github.com/keshavbhatt/kmusicplay.git,"Your entire music and video collection in one place. Play any audio / video  file without any obstacle.  kMusicplay support literally any type of music file, from HD or lossless files (like FLAC, ALAC, WAV, etc), to popular compressed or lossy files (like MP3, AAC, etc). kMusicplay also support all video formats and play them seamlessly with the all new Video mode.  kMusicplay  is elegant ,powerful, with so many controls . Most Important feature kMusicplay is  lightweight app is totally written in Qml and uses Ubuntu touch UI components to draw GUI hence most lightweight and fast GUI based media player ever . In App animation and transitions takes the media player to new level . You can save Last Played Tracks so you never need to load tracks again and again , kMusicplay  grabs Album art , Lyrics and other details  of currently playing song on the fly with its all  new metadata interpretor  Klyric Engine beta  , so many other features like slide to remove song from play-list ,  Playlist Quick Filter, with all basic features a music player have are available. If you love app and want more features please give five stars and provide your features request and feedbacks by  commenting after installing app. If for some reasons app didn't work properly then provide the feedbacks by emailing me. Thanks,",9,6,9,track+playlist+audio,GitHub
6,MusicAssist,https://github.com/temportalflux/MusicAssist.git,A module for FoundryVTT which adds support for youtube tracks in audio playlists,8,5,8,track+playlist+audio,GitHub
