Category,label,Category
0,Advertising_Marketing,0
1,Backend,1
2,Bitcoin,2
3,Chat,3
4,Cloud,4
5,Cryptocurrency,5
6,Data_Database,6
7,Domains,7
8,Education,8
9,Email,9
10,Enterprise,10
11,Events,11
12,File_Sharing,12
13,Financial_Banking,13
14,Games_Sports,14
15,Government,15
16,Internet of Things,16
17,Mapping,17
18,Media_News Services,18
19,Medical,19
20,Messaging,20
21,Music_Video,21
22,Other,22
23,Payments,23
24,Photos_Images,24
25,Project Management/Development,25
26,Real Estate,26
27,Reference,27
28,Science_Analytics,28
29,Search,29
30,Security,30
31,Shipping,31
32,Social,32
33,Stocks,33
34,Storage,34
35,Telephony,35
36,Tools,36
37,Translation,37
38,Travel_Transportation,38
39,Weather,39
40,eCommerce,40
